#this file has been interpolated to have an equally spaced grid																																
#this file has been interpolated to have an equally spaced grid																																
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)																																
#alt in km, Tgas in K, chemical species in molecules/cm3																																
5 28																																
index	alt	dummy	Kzz	Tgas	N2	O2	O3	OH	O	CO2	CO	HO2	H2O	NO2	COS	CS2	CS	H	H2S	SH	S	SO	SO2	SO3	HSO	HSO2	HSO3	H2SO4	H2	N	DMS	SO4
14	14	136.30518 	5.17E+03	218 	3.16E+18	6.28E+17	2.73E+12	6.92E+05	9.72E+04	9.41E+14	6.60E+11	4.26E+07	2.41E+13	1.09E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
15	15	115.65243 	4.29E+03	217 	2.76E+18	5.29E+17	3.05E+12	6.49E+05	1.50E+05	7.96E+14	5.03E+11	4.52E+07	2.09E+13	1.34E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
16	16	98.66364 	3.95E+03	217 	2.41E+18	4.52E+17	3.34E+12	6.42E+05	2.28E+05	6.80E+14	3.48E+11	4.80E+07	1.82E+13	1.65E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
17	17	84.09121 	3.90E+03	217 	2.11E+18	3.86E+17	3.81E+12	6.63E+05	3.62E+05	5.80E+14	2.20E+11	5.25E+07	1.58E+13	1.88E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
18	18	71.19758 	4.00E+03	217 	1.84E+18	3.30E+17	4.19E+12	7.30E+05	5.58E+05	4.96E+14	1.66E+11	5.41E+07	1.47E+13	2.03E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
19	19	60.29753 	4.34E+03	217 	1.61E+18	2.81E+17	4.51E+12	8.21E+05	8.52E+05	4.24E+14	1.15E+11	5.74E+07	1.47E+13	2.20E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
20	20	51.35795 	4.84E+03	217 	1.41E+18	2.40E+17	4.67E+12	9.74E+05	1.26E+06	3.62E+14	8.98E+10	5.92E+07	1.49E+13	2.32E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
21	21	43.98005 	5.44E+03	218 	1.23E+18	2.08E+17	4.77E+12	1.11E+06	1.83E+06	3.14E+14	6.52E+10	6.28E+07	1.61E+13	2.44E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
22	22	37.32481 	6.19E+03	219 	1.07E+18	1.81E+17	4.87E+12	1.27E+06	2.67E+06	2.72E+14	4.97E+10	6.47E+07	1.72E+13	2.51E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
23	23	31.69017 	7.04E+03	220 	9.38E+17	1.57E+17	4.80E+12	1.59E+06	3.83E+06	2.37E+14	3.89E+10	6.87E+07	1.86E+13	2.51E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
24	24	26.92663 	7.98E+03	221 	8.19E+17	1.37E+17	4.63E+12	1.99E+06	5.33E+06	2.06E+14	3.19E+10	6.87E+07	1.98E+13	2.57E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
25	25	23.04944 	8.99E+03	222 	7.16E+17	1.19E+17	4.41E+12	2.50E+06	7.45E+06	1.80E+14	2.50E+10	7.07E+07	2.11E+13	2.57E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
26	26	19.81036 	1.00E+04	223 	6.25E+17	1.04E+17	4.14E+12	3.19E+06	1.02E+07	1.57E+14	2.00E+10	7.29E+07	2.14E+13	2.51E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
27	27	16.90692 	1.13E+04	224 	5.46E+17	9.08E+16	3.75E+12	3.87E+06	1.36E+07	1.37E+14	1.56E+10	7.29E+07	1.93E+13	2.51E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
28	28	14.45824 	1.25E+04	225 	4.77E+17	7.94E+16	3.40E+12	4.74E+06	1.82E+07	1.20E+14	1.25E+10	7.07E+07	1.75E+13	2.44E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
29	29	12.39631 	1.36E+04	226 	4.17E+17	6.95E+16	3.10E+12	5.87E+06	2.45E+07	1.05E+14	1.00E+10	6.87E+07	1.59E+13	2.32E+09	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
