#part name, and mass in g (me=electron mass, mp=proton, mn=neutron, mep=me+mp, mpne=mp+mn+me)
H	mep
H(2)	mep
C	6*mep
C(1D)	6*mep
O	8*mpne
N	7*mpne
O(1D)	8*mpne
O(1S)	8*mpne
M	14*mpne
O(3P)	8*mpne
S	32*mpne
_1	0e0
_3	0e0
e	me
_a	0e0
_c	0e0
_i	0e0
_l	0e0
_n	0e0
_t	0e0
_p	0e0
_1c 0e0


