H;CH3CHCH2;N2;C3H7;N2; ; ; ; ; 1.500e-29; 0.000e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn;3; 3.700e-11; 0.000e+00; 1.040e+03; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   14;1 ;2
H;C3H7;N2;C3H8;N2; ; ; ; ; 6.110e-28;-2.000e+00; 1.040e+03; 1.000e+01; 1.000e+02;logn;3; 2.490e-10; 0.000e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   15;1 ;2
H;C4H;N2;C4H2;N2; ; ; ; ; 2.640e-26;-3.100e+00; 7.210e+02; 1.000e+01; 1.000e+02;logn;3; 3.000e-10; 0.000e+00; 0.000e+00; 1.000e+01; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   16;1 ;2
H;C4H2;N2;C4H3;N2; ; ; ; ; 3.300e-30; 0.000e+00; 7.400e+02; 1.000e+01; 1.000e+02;logn;3; 1.390e-10; 0.000e+00; 1.180e+03; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   17;1 ;2
H;C6H;N2;C6H2;N2; ; ; ; ; 2.640e-26;-3.100e+00; 7.210e+02; 2.000e+00; 1.000e+02;logn;3; 3.000e-10; 0.000e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   18;1 ;2
H;C6H6;N2;C6H7;N2; ; ; ; ; 3.300e-30; 0.000e+00; 7.400e+02; 1.000e+01; 1.000e+02;logn;3; 5.270e-11; 0.000e+00; 1.600e+03; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   19;1 ;2
C;C;N2;C2;N2; ; ; ; ; 5.300e-31;-1.600e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn;3; 2.160e-11; 0.000e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   20;1 ;2
CH;H2;N2;CH3;N2; ; ; ; ; 5.110e-30;-1.600e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn;3; 1.580e-10;-8.000e-02; 0.000e+00; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   21;1 ;2
CH3;CH3;N2;C2H6;N2; ; ; ; ; 1.130e-25;-3.750e+00; 4.940e+02; 1.700e+00; 1.000e+02;logn;3; 7.420e-11;-6.900e-01; 8.800e+01; 1.300e+00; 1.200e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   22;1 ;2
CH3;C2H2;N2;C3H5;N2; ; ; ; ; 3.300e-30; 0.000e+00; 7.400e+02; 1.000e+01; 1.000e+02;logn;3; 1.000e-12; 0.000e+00; 3.900e+03; 3.160e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   23;1 ;2
CH3;C2H3;N2;CH3CHCH2;N2; ; ; ; ; 1.130e-25;-3.750e+00; 4.940e+02; 1.000e+01; 1.000e+02;logn;3; 3.790e-11; 4.170e-01;-1.610e+02; 2.200e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   24;1 ;2
CH3;C2H4;N2;C3H7;N2; ; ; ; ; 1.390e-29; 0.000e+00; 5.620e+02; 1.000e+01; 1.000e+02;logn;3; 3.500e-13; 0.000e+00; 3.700e+03; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   25;1 ;2
CH3;C2H5;N2;C3H8;N2; ; ; ; ; 1.050e-19;-1.610e+01; 1.900e+03; 5.000e+00; 1.000e+02;logn;3; 5.600e-11; 0.000e+00; 0.000e+00; 2.000e+00; 1.000e+02;logn; 3; 0.000e+00; 1.000e+99; 1.000e-99; 1.000e+99; 0.000e+00;logn; 7;    50;   200; -9999;  9999; 6;   26;1 ;2
