#this file has been interpolated to have an equally spaced grid
#first line contains number of data (alt, Tgas, ...) and of non-zero chemical species (H,CO2,...)
#alt in km, Tgas in K, chemical species in ppbv
5 55
index	alt	dummy	Tgas	dummy	H2CO	O(3P)	H2O	OH	HO2	H2O2	O3	H	H2	CH4	CO	CH3OOH	CH3O2	N2O	NO	NO2	HNO2	HNO3	HO2NO2	NO3	N2O5	CL2O2	CH3CL	HOCL	CL	CLO	HCL	CLONO2	H2S	HS	SO	SO2	H2SO4	HSO	CH2_1	CH2_3	O(1D)	CH3	H3CO	HCO	N	NOCL	CLONO	CLO2	CL2	S	SO21	SO23	HSO3	SO3	S2	O2	CO2	N2	O
11	11.15469	222.53259	215.17329	0.01241	0.01333	0.0	8842.44827	9e-05	0.0012	0.02734	94.22194	0.0	556.0	1585.86645	43.28124	0.00266	0.00012	300.58665	0.06939	0.02715	0.00017	0.35059	0.03911	0.0	4e-05	0.0	0.45693	1e-05	0.0	3e-05	0.02775	0.00041	0.00248	0.0	0.0	0.16485	0.00655	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
12	12.16875	190.56875	213.63125	0.0107	0.01048	0.0	6375.6875	9e-05	0.00084	0.00927	132.75625	0.0	556.0	1576.3125	38.52438	0.0009	8e-05	299.2625	0.09362	0.0412	0.00018	0.45521	0.03426	0.0	6e-05	0.0	0.45031	1e-05	0.0	3e-05	0.03416	0.00061	0.00094	0.0	0.0	0.11301	0.00367	2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
13	13.18281	161.04694	212.61719	0.00912	0.0091	1e-05	6191.4843	9e-05	0.00065	0.00293	209.81224	0.0	555.61719	1566.1719	32.35002	0.00036	6e-05	296.85157	0.1287	0.07286	0.0002	0.67752	0.03684	0.0	0.00016	0.0	0.43826	1e-05	0.0	5e-05	0.04514	0.00128	0.00025	0.0	0.0	0.06611	0.00178	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
14	14.19688	136.26864	212.0	0.00773	0.00845	2e-05	6229.844	0.0001	0.00056	0.00139	335.91328	0.0	554.20624	1548.0936	26.0981	0.0002	5e-05	293.0156	0.17503	0.13156	0.00023	1.05076	0.04622	1e-05	0.00044	0.0	0.42146	1e-05	0.0	9e-05	0.06043	0.0029	5e-05	0.0	0.0	0.03429	0.0008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
15	15.21094	115.60308	212.0	0.00654	0.00821	3e-05	6288.7658	0.00012	0.00056	0.00105	517.11928	0.0	552.17812	1517.6718	20.70968	0.00014	4e-05	286.71248	0.23371	0.22608	0.00026	1.58889	0.06185	2e-05	0.00116	0.0	0.40014	1e-05	0.0	0.00015	0.07861	0.00613	1e-05	0.0	0.0	0.01664	0.00034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
16	16.225	98.66364	212.0	0.00557	0.00833	7e-05	6360.90909	0.00014	0.00063	0.00105	745.93182	0.0	549.45455	1484.54545	16.68636	0.00013	4e-05	278.52273	0.29982	0.35489	0.00029	2.24977	0.08295	3e-05	0.00257	0.0	0.37595	2e-05	0.0	0.00025	0.09722	0.01146	0.0	0.0	0.0	0.00803	0.00015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
17	17.23906	84.0566	212.33906	0.00476	0.00877	0.00013	6443.906	0.00016	0.00076	0.00125	1022.55074	0.0	545.3047	1446.4376	13.82016	0.00013	4e-05	269.6094	0.37045	0.51408	0.00033	3.00159	0.10925	5e-05	0.0049	0.0	0.35085	4e-05	0.0	0.00039	0.11442	0.01936	0.0	0.0	0.0	0.00388	7e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
18	18.25313	71.17432	213.0	0.00402	0.00961	0.00024	6545.313	0.00021	0.00099	0.00173	1374.1894	0.0	540.23435	1402.3435	11.77031	0.00014	4e-05	258.76244	0.4506	0.71563	0.00037	3.89135	0.14271	8e-05	0.00857	0.0	0.32311	7e-05	0.0	0.00063	0.12994	0.03121	0.0	0.0	0.0	0.00181	3e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
19	19.26719	60.27498	213.36719	0.0034	0.01081	0.00044	6650.3909	0.00027	0.00135	0.0026	1781.5636	0.0	534.42967	1347.9686	10.46586	0.00018	5e-05	246.59372	0.53421	0.94192	0.00042	4.82149	0.18069	0.00011	0.01338	0.0	0.29509	0.00012	0.0	0.001	0.1423	0.04652	0.0	0.0	0.0	0.00085	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
20	20.28125	51.35795	214.34659	0.00289	0.01239	0.00077	6758.125	0.00036	0.00188	0.0041	2229.82955	0.0	527.57386	1292.67045	9.72017	0.00023	6e-05	234.14773	0.61954	1.18011	0.00048	5.72193	0.22056	0.00016	0.01888	0.0	0.26899	0.00022	0.0	0.00153	0.14973	0.06433	0.0	0.0	0.0	0.00042	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
21	21.29531	43.96236	215.29531	0.00246	0.01444	0.00131	6865.4372	0.00048	0.00265	0.00659	2709.4674	0.0	520.34221	1245.2345	9.33798	0.00031	7e-05	221.16097	0.70824	1.43859	0.00055	6.55511	0.26129	0.00021	0.02472	0.0	0.24462	0.00038	0.0	0.00227	0.15359	0.08393	0.0	0.0	0.0	0.00021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
22	22.30938	37.3056	216.30938	0.00207	0.01716	0.00229	6987.1256	0.00067	0.00389	0.01116	3278.7218	0.0	511.21558	1191.4372	9.18381	0.00043	9e-05	207.66868	0.8142	1.75519	0.00063	7.36585	0.30692	0.00028	0.03143	0.0	0.21988	0.00069	0.0	0.00339	0.15438	0.10646	0.0	0.0	0.0	0.00011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
23	23.32344	31.6828	217.32344	0.00175	0.02059	0.00395	7105.5784	0.00096	0.00574	0.01883	3913.4704	0.0	502.08904	1133.828	9.20234	0.0006	0.00011	193.47184	0.9419	2.12584	0.00075	8.0576	0.35223	0.00037	0.0385	0.0	0.19721	0.00123	0.0	0.00492	0.15171	0.12944	0.0	0.0	0.0	5e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	210000000.0	355000.0	780000000.0	0.0
