0          References for Cross Section of C2H4      Total   
Lambda = 1.00-100. A                                                            
   Synthesized from cross sections of atomic constituents 4*H + 2*C             
   Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 180.-700. A                                                            
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
Lambda = 500.-1200. A                                                           
   Schoen, R. I. (1962)                                                         
   J. Chem. Phys. 37, 2032                                                      
Lambda = 1065.-1960. A                                                          
   Zelikoff, M., Watanabe, K. (1953)                                            
   J. Opt. Soc. Am. 43, 756                                                     
                                                                                
0          References for Cross Section of C2H4      C2H4+   
Lambda = 500.-1200. A                                                           
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
                                                                                
0          References for Cross Section of C2H4      C2H2+H2 
Lambda = 500.-1200. A                                                           
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
                                                                                
0          References for Cross Section of C2H4      C2H3+H  
Lambda = 500.-1200. A                                                           
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
                                                                                
0          References for Cross Section of C2H4      C2H2/2H 
Branching ratios for dissociation:                                              
Lambda = 1236.-1973. A                                                          
   McNesby, J. R., Okabe, H. (1964)                                             
   Adv. Photochem. 3, 157                                                       
Lambda = 1550.-1900. A                                                          
   Back, R. A., Griffiths, D. W. L. (1967)                                      
   J. Chem. Phys. 46, 4839                                                      
Threshold:                                                                      
   For dissociation from heats of formation                                     
Lambda = 1960. A                                                                
                                                                                
0 Branching ratio for C2H4     Total        5 branches
 Lambda  Total   C2H4+    C2H2+H2  C2H3+H   C2H2/2H  C2H2/H2 
    1.0 4.00E-23 1.32E-23 1.36E-23 1.32E-23 6.62E-27 3.56E-27
   10.0 4.60E-20 1.51E-20 1.56E-20 1.52E-20 7.61E-23 4.10E-23
   41.0 1.30E-19 4.22E-20 4.32E-20 4.32E-20 8.82E-22 4.75E-22
   43.0 8.70E-20 2.82E-20 2.89E-20 2.89E-20 6.19E-22 3.33E-22
