0 Branching ratio for H2O       Total        1 branches
Lambda          Total           OH/H              H2/O
1321.02   6.65E-18  6.65E-18  0.00E+00
1322.02   6.52E-18  6.52E-18  0.00E+00
1323.02   6.16E-18  6.16E-18  0.00E+00
1324.02   5.76E-18  5.76E-18  0.00E+00
1325.02   5.31E-18  5.31E-18  0.00E+00
1326.02   4.93E-18  4.93E-18  0.00E+00
1327.02   4.70E-18  4.70E-18  0.00E+00
1328.02   4.59E-18  4.59E-18  0.00E+00
1329.02   4.71E-18  4.71E-18  0.00E+00
1330.02   4.94E-18  4.94E-18  0.00E+00
1331.02   5.16E-18  5.16E-18  0.00E+00
1332.02   5.32E-18  5.32E-18  0.00E+00
1333.02   5.37E-18  5.37E-18  0.00E+00
1334.02   5.30E-18  5.30E-18  0.00E+00
1335.02   5.18E-18  5.18E-18  0.00E+00
1336.02   5.01E-18  5.01E-18  0.00E+00
1337.02   4.78E-18  4.78E-18  0.00E+00
1338.02   4.51E-18  4.51E-18  0.00E+00
1339.02   4.35E-18  4.35E-18  0.00E+00
1340.02   4.31E-18  4.31E-18  0.00E+00
1341.02   4.08E-18  4.08E-18  0.00E+00
1342.02   3.94E-18  3.94E-18  0.00E+00
1343.02   3.78E-18  3.78E-18  0.00E+00
1344.02   3.74E-18  3.74E-18  0.00E+00
1345.02   3.80E-18  3.80E-18  0.00E+00
1346.02   3.87E-18  3.87E-18  0.00E+00
1347.02   3.89E-18  3.89E-18  0.00E+00
1348.02   3.88E-18  3.88E-18  0.00E+00
1349.02   3.82E-18  3.82E-18  0.00E+00
1350.02   3.68E-18  3.68E-18  0.00E+00
1351.02   3.53E-18  3.53E-18  0.00E+00
1352.02   3.43E-18  3.43E-18  0.00E+00
1353.02   3.34E-18  3.34E-18  0.00E+00
1354.02   3.28E-18  3.28E-18  0.00E+00
1355.02   3.13E-18  3.13E-18  0.00E+00
1356.02   2.95E-18  2.95E-18  0.00E+00
1357.02   2.78E-18  2.78E-18  0.00E+00
1358.02   2.66E-18  2.66E-18  0.00E+00
1359.02   2.54E-18  2.54E-18  0.00E+00
1360.02   2.44E-18  2.44E-18  0.00E+00
1361.02   2.42E-18  2.42E-18  0.00E+00
1362.02   2.47E-18  2.47E-18  0.00E+00
1363.02   2.58E-18  2.58E-18  0.00E+00
1364.02   2.64E-18  2.64E-18  0.00E+00
1365.02   2.63E-18  2.63E-18  0.00E+00
1366.02   2.57E-18  2.57E-18  0.00E+00
1367.02   2.43E-18  2.43E-18  0.00E+00
1368.02   2.29E-18  2.29E-18  0.00E+00
1369.02   2.12E-18  2.12E-18  0.00E+00
1370.03   1.99E-18  1.99E-18  0.00E+00
1371.03   1.91E-18  1.91E-18  0.00E+00
1372.03   1.88E-18  1.88E-18  0.00E+00
1373.03   1.89E-18  1.89E-18  0.00E+00
1374.03   1.89E-18  1.89E-18  0.00E+00
1375.03   1.95E-18  1.95E-18  0.00E+00
1376.03   2.01E-18  2.01E-18  0.00E+00
1377.03   2.02E-18  2.02E-18  0.00E+00
1378.03   2.01E-18  2.01E-18  0.00E+00
1379.03   1.90E-18  1.90E-18  0.00E+00
1380.03   1.78E-18  1.78E-18  0.00E+00
1381.03   1.64E-18  1.64E-18  0.00E+00
1382.03   1.54E-18  1.54E-18  0.00E+00
1383.03   1.44E-18  1.44E-18  0.00E+00
1384.03   1.35E-18  1.35E-18  0.00E+00
1385.03   1.27E-18  1.27E-18  0.00E+00
1386.03   1.22E-18  1.22E-18  0.00E+00
1387.03   1.18E-18  1.18E-18  0.00E+00
1388.03   1.19E-18  1.19E-18  0.00E+00
1389.03   1.23E-18  1.23E-18  0.00E+00
1390.03   1.26E-18  1.26E-18  0.00E+00
1391.03   1.31E-18  1.31E-18  0.00E+00
1392.03   1.32E-18  1.32E-18  0.00E+00
1393.03   1.32E-18  1.32E-18  0.00E+00
1394.03   1.29E-18  1.29E-18  0.00E+00
1395.03   1.26E-18  1.26E-18  0.00E+00
1396.03   1.22E-18  1.22E-18  0.00E+00
1397.03   1.16E-18  1.16E-18  0.00E+00
1398.03   1.12E-18  1.12E-18  0.00E+00
1399.03   1.07E-18  1.07E-18  0.00E+00
1400.03   9.82E-19  9.82E-19  0.00E+00
1401.03   9.34E-19  9.34E-19  0.00E+00
1402.03   9.09E-19  9.09E-19  0.00E+00
1403.03   8.68E-19  8.68E-19  0.00E+00
1404.03   8.19E-19  8.19E-19  0.00E+00
1405.03   8.08E-19  8.08E-19  0.00E+00
1406.03   8.10E-19  8.10E-19  0.00E+00
1407.03   8.13E-19  8.13E-19  0.00E+00
1408.03   8.33E-19  8.33E-19  0.00E+00
1409.03   8.59E-19  8.59E-19  0.00E+00
1410.03   8.66E-19  8.66E-19  0.00E+00
1411.03   8.54E-19  8.54E-19  0.00E+00
1412.03   8.34E-19  8.34E-19  0.00E+00
1413.03   8.05E-19  8.05E-19  0.00E+00
1414.03   7.75E-19  7.75E-19  0.00E+00
1415.03   7.43E-19  7.43E-19  0.00E+00
1416.03   7.24E-19  7.24E-19  0.00E+00
1417.03   6.93E-19  6.93E-19  0.00E+00
1418.03   6.75E-19  6.75E-19  0.00E+00
1419.03   6.54E-19  6.54E-19  0.00E+00
1420.03   6.36E-19  6.36E-19  0.00E+00
1421.03   6.21E-19  6.21E-19  0.00E+00
1422.03   6.00E-19  6.00E-19  0.00E+00
1423.03   5.78E-19  5.78E-19  0.00E+00
1424.03   5.68E-19  5.68E-19  0.00E+00
1425.03   5.61E-19  5.61E-19  0.00E+00
1426.03   5.60E-19  5.60E-19  0.00E+00
1427.03   5.74E-19  5.74E-19  0.00E+00
1428.03   5.74E-19  5.74E-19  0.00E+00
1429.03   5.76E-19  5.76E-19  0.00E+00
1430.03   5.73E-19  5.73E-19  0.00E+00
1431.03   5.79E-19  5.79E-19  0.00E+00
1432.03   5.73E-19  5.73E-19  0.00E+00
1433.03   5.70E-19  5.70E-19  0.00E+00
1434.03   5.66E-19  5.66E-19  0.00E+00
1435.03   5.63E-19  5.63E-19  0.00E+00
1436.03   5.53E-19  5.53E-19  0.00E+00
1437.03   5.50E-19  5.50E-19  0.00E+00
1438.04   5.54E-19  5.54E-19  0.00E+00
1439.04   5.63E-19  5.63E-19  0.00E+00
1440.04   5.67E-19  5.67E-19  0.00E+00
1441.04   5.73E-19  5.73E-19  0.00E+00
1442.04   5.79E-19  5.79E-19  0.00E+00
1443.04   5.72E-19  5.72E-19  0.00E+00
1444.04   5.63E-19  5.63E-19  0.00E+00
1445.04   5.65E-19  5.65E-19  0.00E+00
1446.04   5.63E-19  5.63E-19  0.00E+00
1447.04   5.68E-19  5.68E-19  0.00E+00
1448.04   5.69E-19  5.69E-19  0.00E+00
1449.04   5.71E-19  5.71E-19  0.00E+00
1450.04   5.77E-19  5.77E-19  0.00E+00
1451.04   5.81E-19  5.81E-19  0.00E+00
1452.04   5.85E-19  5.85E-19  0.00E+00
1453.04   5.95E-19  5.95E-19  0.00E+00
1454.04   6.08E-19  6.08E-19  0.00E+00
1455.04   6.15E-19  6.15E-19  0.00E+00
1456.04   6.20E-19  6.20E-19  0.00E+00
1457.04   6.22E-19  6.22E-19  0.00E+00
1458.04   6.36E-19  6.36E-19  0.00E+00
1459.04   6.45E-19  6.45E-19  0.00E+00
1460.04   6.58E-19  6.58E-19  0.00E+00
1461.04   6.70E-19  6.70E-19  0.00E+00
1462.04   6.80E-19  6.80E-19  0.00E+00
1463.04   6.90E-19  6.90E-19  0.00E+00
1464.04   7.00E-19  7.00E-19  0.00E+00
1465.04   7.13E-19  7.13E-19  0.00E+00
1466.04   7.22E-19  7.22E-19  0.00E+00
1467.04   7.31E-19  7.31E-19  0.00E+00
1468.04   7.38E-19  7.38E-19  0.00E+00
1469.04   7.45E-19  7.45E-19  0.00E+00
1470.04   7.52E-19  7.52E-19  0.00E+00
1471.04   7.58E-19  7.58E-19  0.00E+00
1472.04   7.66E-19  7.66E-19  0.00E+00
1473.04   7.77E-19  7.77E-19  0.00E+00
1474.04   7.86E-19  7.86E-19  0.00E+00
1475.04   7.85E-19  7.85E-19  0.00E+00
