0          References for Cross Section of NO        Total   
Cross section:                                                                  
Lambda = 1.-180. A                                                              
   Cross section synthesized from the atomic cross section of N and O           
Lambda = 180.-580. A                                                            
   Lee, L. C., Carlson, R. W., Judge, D. L., Ogawa, M. (1973)                   
   J. Quant. Spectr. Rad. Trans. 13, 1023                                       
Lambda = 580.-1350. A                                                           
   Watanabe, K., Matsunaga, F. M., Sakai, H. (1967)                             
   Appl. Opt. 6, 391                                                            
Lambda = 1350.-1910. A                                                          
   Marmo, F. F. (1953)                                                          
   J. Opt. Soc. Am. 43, 1186                                                    
  692.7 2.20E-17 2.05E-17 0.00E+00 0.00E+00 1.54E-18
  694.3 1.82E-17 1.66E-17 0.00E+00 0.00E+00 1.64E-18
  695.7 2.87E-17 2.63E-17 0.00E+00 0.00E+00 2.42E-18
  696.8 2.12E-17 1.95E-17 0.00E+00 0.00E+00 1.70E-18
  697.9 2.31E-17 2.01E-17 0.00E+00 0.00E+00 3.00E-18
  699.1 1.86E-17 1.71E-17 0.00E+00 0.00E+00 1.49E-18
  699.5 1.90E-17 1.74E-17 0.00E+00 0.00E+00 1.62E-18
  699.9 2.01E-17 1.83E-17 0.00E+00 0.00E+00 1.83E-18
  700.2 1.94E-17 1.76E-17 0.00E+00 0.00E+00 1.84E-18
  700.6 2.01E-17 1.81E-17 0.00E+00 0.00E+00 2.02E-18
  701.3 1.86E-17 1.66E-17 0.00E+00 0.00E+00 2.05E-18
  702.1 1.90E-17 1.77E-17 0.00E+00 0.00E+00 1.33E-18
  703.5 2.16E-17 1.81E-17 0.00E+00 0.00E+00 3.46E-18
  704.6 1.94E-17 1.63E-17 0.00E+00 0.00E+00 3.10E-18
  706.0 2.75E-17 2.31E-17 0.00E+00 0.00E+00 4.40E-18
  707.9 1.97E-17 1.69E-17 0.00E+00 0.00E+00 2.76E-18
  708.2 2.16E-17 1.86E-17 0.00E+00 0.00E+00 3.02E-18
  708.5 2.05E-17 1.76E-17 0.00E+00 0.00E+00 2.87E-18
  709.1 2.27E-17 1.86E-17 0.00E+00 0.00E+00 4.09E-18
  710.6 1.64E-17 1.49E-17 0.00E+00 0.00E+00 1.48E-18
  711.9 2.05E-17 1.66E-17 0.00E+00 0.00E+00 3.89E-18
  712.4 1.94E-17 1.58E-17 0.00E+00 0.00E+00 3.65E-18
  713.0 2.12E-17 1.73E-17 0.00E+00 0.00E+00 3.93E-18
  713.8 2.05E-17 1.68E-17 0.00E+00 0.00E+00 3.74E-18
  714.4 2.20E-17 1.80E-17 0.00E+00 0.00E+00 3.96E-18
  716.7 1.56E-17 1.45E-17 0.00E+00 0.00E+00 1.09E-18
  717.5 2.08E-17 1.76E-17 0.00E+00 0.00E+00 3.24E-18
  718.1 2.23E-17 1.74E-17 0.00E+00 0.00E+00 4.91E-18
  718.5 1.94E-17 1.55E-17 0.00E+00 0.00E+00 3.88E-18
  718.9 2.27E-17 1.79E-17 0.00E+00 0.00E+00 4.77E-18
  719.3 2.31E-17 1.80E-17 0.00E+00 0.00E+00 5.08E-18
  719.8 2.20E-17 1.72E-17 0.00E+00 0.00E+00 4.84E-18
  720.3 2.49E-17 1.84E-17 0.00E+00 0.00E+00 6.47E-18
  721.8 1.79E-17 1.51E-17 0.00E+00 0.00E+00 2.82E-18
  722.0 1.82E-17 1.56E-17 0.00E+00 0.00E+00 2.62E-18
  722.5 1.64E-17 1.46E-17 0.00E+00 0.00E+00 1.80E-18
  723.1 1.79E-17 1.51E-17 0.00E+00 0.00E+00 2.82E-18
  723.4 1.86E-17 1.52E-17 0.00E+00 0.00E+00 3.37E-18
  723.7 2.20E-17 1.75E-17 0.00E+00 0.00E+00 4.50E-18
  724.0 2.31E-17 1.78E-17 0.00E+00 0.00E+00 5.28E-18
  724.4 2.34E-17 1.73E-17 0.00E+00 0.00E+00 6.08E-18
  725.3 2.42E-17 1.86E-17 0.00E+00 0.00E+00 5.57E-18
  725.6 2.68E-17 2.05E-17 0.00E+00 0.00E+00 6.30E-18
  726.0 2.72E-17 2.06E-17 0.00E+00 0.00E+00 6.57E-18
  726.5 2.87E-17 2.15E-17 0.00E+00 0.00E+00 7.18E-18
  727.4 2.23E-17 1.87E-17 0.00E+00 0.00E+00 3.57E-18
  727.7 2.23E-17 1.94E-17 0.00E+00 0.00E+00 2.90E-18
  728.1 1.94E-17 1.77E-17 0.00E+00 0.00E+00 1.75E-18
  729.1 3.39E-17 2.56E-17 0.00E+00 0.00E+00 8.29E-18
  729.5 3.05E-17 2.29E-17 0.00E+00 0.00E+00 7.63E-18
  729.9 2.90E-17 2.21E-17 0.00E+00 0.00E+00 6.86E-18
  730.7 2.20E-17 1.74E-17 0.00E+00 0.00E+00 4.62E-18
  731.3 2.23E-17 1.64E-17 0.00E+00 0.00E+00 5.89E-18
  731.7 2.75E-17 1.92E-17 0.00E+00 0.00E+00 8.25E-18
  732.1 2.57E-17 1.87E-17 0.00E+00 0.00E+00 7.05E-18
  732.4 2.57E-17 1.91E-17 0.00E+00 0.00E+00 6.55E-18
  734.1 1.60E-17 1.37E-17 0.00E+00 0.00E+00 2.33E-18
  734.5 1.53E-17 1.35E-17 0.00E+00 0.00E+00 1.84E-18
  734.8 1.56E-17 1.36E-17 0.00E+00 0.00E+00 2.01E-18
  735.3 1.82E-17 1.56E-17 0.00E+00 0.00E+00 2.60E-18
  735.9 1.90E-17 1.60E-17 0.00E+00 0.00E+00 3.04E-18
  736.4 1.67E-17 1.41E-17 0.00E+00 0.00E+00 2.62E-18
  736.8 1.64E-17 1.39E-17 0.00E+00 0.00E+00 2.53E-18
  737.4 1.79E-17 1.52E-17 0.00E+00 0.00E+00 2.69E-18
