0 Branching ratio for NO2      Total        1 branches
Lambda        Total        NO/O
2706.22   2.91E-20  2.91E-20
2707.22   2.93E-20  2.93E-20
2708.22   2.93E-20  2.93E-20
2709.22   2.92E-20  2.92E-20
2710.22   2.94E-20  2.94E-20
2711.22   2.95E-20  2.95E-20
2712.22   2.95E-20  2.95E-20
2713.22   2.90E-20  2.90E-20
2714.22   2.90E-20  2.90E-20
2715.22   2.90E-20  2.90E-20
2716.22   2.91E-20  2.91E-20
2717.22   2.95E-20  2.95E-20
2718.22   2.97E-20  2.97E-20
2719.22   2.96E-20  2.96E-20
2720.22   2.99E-20  2.99E-20
2721.22   3.03E-20  3.03E-20
2722.22   3.14E-20  3.14E-20
2723.22   3.19E-20  3.19E-20
2724.22   3.24E-20  3.24E-20
2725.22   3.29E-20  3.29E-20
2726.22   3.33E-20  3.33E-20
2727.22   3.37E-20  3.37E-20
2728.22   3.45E-20  3.45E-20
2729.22   3.52E-20  3.52E-20
2730.23   3.64E-20  3.64E-20
2731.23   3.72E-20  3.72E-20
2732.23   3.73E-20  3.73E-20
2733.23   3.78E-20  3.78E-20
2734.23   3.76E-20  3.76E-20
2735.23   3.74E-20  3.74E-20
2736.23   3.78E-20  3.78E-20
2737.23   3.72E-20  3.72E-20
2738.23   3.74E-20  3.74E-20
2739.23   3.76E-20  3.76E-20
2740.23   3.83E-20  3.83E-20
2741.23   3.91E-20  3.91E-20
2742.23   3.95E-20  3.95E-20
2743.23   3.97E-20  3.97E-20
2744.23   3.99E-20  3.99E-20
2745.23   4.00E-20  4.00E-20
2746.23   4.04E-20  4.04E-20
2747.23   4.02E-20  4.02E-20
2748.23   4.02E-20  4.02E-20
2749.23   4.02E-20  4.02E-20
2750.23   3.98E-20  3.98E-20
2751.23   4.00E-20  4.00E-20
2752.23   4.00E-20  4.00E-20
2753.23   3.97E-20  3.97E-20
2754.23   3.95E-20  3.95E-20
2755.23   3.91E-20  3.91E-20
2756.23   3.90E-20  3.90E-20
2757.23   3.92E-20  3.92E-20
2758.23   3.88E-20  3.88E-20
2759.23   3.90E-20  3.90E-20
2760.23   3.88E-20  3.88E-20
2761.23   3.91E-20  3.91E-20
2762.23   3.96E-20  3.96E-20
2763.23   4.00E-20  4.00E-20
2764.23   4.06E-20  4.06E-20
2765.23   4.10E-20  4.10E-20
2766.23   4.14E-20  4.14E-20
2767.23   4.19E-20  4.19E-20
2768.23   4.23E-20  4.23E-20
2769.23   4.28E-20  4.28E-20
2770.23   4.31E-20  4.31E-20
2771.23   4.30E-20  4.30E-20
2772.23   4.36E-20  4.36E-20
2773.23   4.33E-20  4.33E-20
2774.23   4.34E-20  4.34E-20
2775.23   4.36E-20  4.36E-20
2776.23   4.36E-20  4.36E-20
2777.23   4.35E-20  4.35E-20
2778.23   4.41E-20  4.41E-20
2779.23   4.47E-20  4.47E-20
2780.23   4.50E-20  4.50E-20
2781.23   4.58E-20  4.58E-20
2782.23   4.62E-20  4.62E-20
2783.23   4.66E-20  4.66E-20
2784.23   4.69E-20  4.69E-20
2785.23   4.73E-20  4.73E-20
2786.23   4.69E-20  4.69E-20
2787.23   4.78E-20  4.78E-20
2788.23   4.85E-20  4.85E-20
2789.23   4.93E-20  4.93E-20
2790.23   5.04E-20  5.04E-20
2791.23   5.14E-20  5.14E-20
2792.23   5.21E-20  5.21E-20
2793.23   5.38E-20  5.38E-20
2794.23   5.43E-20  5.43E-20
2795.23   5.48E-20  5.48E-20
2796.23   5.47E-20  5.47E-20
2797.23   5.46E-20  5.46E-20
2798.24   5.41E-20  5.41E-20
2799.24   5.40E-20  5.40E-20
2800.24   5.36E-20  5.36E-20
2801.24   5.34E-20  5.34E-20
2802.24   5.28E-20  5.28E-20
2803.24   5.26E-20  5.26E-20
2804.24   5.27E-20  5.27E-20
2805.24   5.33E-20  5.33E-20
2806.24   5.40E-20  5.40E-20
2807.24   5.45E-20  5.45E-20
2808.24   5.48E-20  5.48E-20
2809.24   5.51E-20  5.51E-20
2810.24   5.57E-20  5.57E-20
2811.24   5.57E-20  5.57E-20
2812.24   5.62E-20  5.62E-20
2813.24   5.71E-20  5.71E-20
2814.24   5.77E-20  5.77E-20
2815.24   5.80E-20  5.80E-20
2816.24   5.85E-20  5.85E-20
2817.24   5.83E-20  5.83E-20
2818.24   5.69E-20  5.69E-20
2819.24   5.62E-20  5.62E-20
2820.24   5.51E-20  5.51E-20
2821.24   5.43E-20  5.43E-20
2822.24   5.38E-20  5.38E-20
2823.24   5.34E-20  5.34E-20
2824.24   5.32E-20  5.32E-20
2825.24   5.32E-20  5.32E-20
2826.24   5.33E-20  5.33E-20
2827.24   5.35E-20  5.35E-20
2828.24   5.41E-20  5.41E-20
2829.24   5.45E-20  5.45E-20
2830.24   5.57E-20  5.57E-20
2831.24   5.70E-20  5.70E-20
2832.24   5.81E-20  5.81E-20
2833.24   5.91E-20  5.91E-20
2834.24   5.98E-20  5.98E-20
2835.24   6.07E-20  6.07E-20
2836.24   6.10E-20  6.10E-20
2837.24   6.26E-20  6.26E-20
2838.24   6.37E-20  6.37E-20
2839.24   6.50E-20  6.50E-20
2840.24   6.60E-20  6.60E-20
2841.24   6.63E-20  6.63E-20
2842.24   6.63E-20  6.63E-20
2843.24   6.65E-20  6.65E-20
2844.24   6.66E-20  6.66E-20
2845.24   6.72E-20  6.72E-20
2846.24   6.74E-20  6.74E-20
2847.24   6.80E-20  6.80E-20
2848.24   6.90E-20  6.90E-20
2849.24   6.95E-20  6.95E-20
2850.24   6.98E-20  6.98E-20
2851.24   7.04E-20  7.04E-20
2852.24   7.07E-20  7.07E-20
2853.24   7.14E-20  7.14E-20
2854.24   7.15E-20  7.15E-20
2855.24   7.24E-20  7.24E-20
2856.24   7.30E-20  7.30E-20
2857.24   7.36E-20  7.36E-20
2858.24   7.45E-20  7.45E-20
2859.24   7.47E-20  7.47E-20
2860.24   7.54E-20  7.54E-20
2861.24   7.51E-20  7.51E-20
2862.24   7.51E-20  7.51E-20
2863.24   7.54E-20  7.54E-20
2864.24   7.51E-20  7.51E-20
2865.24   7.50E-20  7.50E-20
2866.25   7.49E-20  7.49E-20
2867.25   7.42E-20  7.42E-20
2868.25   7.38E-20  7.38E-20
2869.25   7.33E-20  7.33E-20
2870.25   7.29E-20  7.29E-20
2871.25   7.24E-20  7.24E-20
2872.25   7.25E-20  7.25E-20
2873.25   7.26E-20  7.26E-20
2874.25   7.28E-20  7.28E-20
2875.25   7.35E-20  7.35E-20
2876.25   7.37E-20  7.37E-20
2877.25   7.44E-20  7.44E-20
2878.25   7.40E-20  7.40E-20
2879.25   7.37E-20  7.37E-20
2880.25   7.34E-20  7.34E-20
2881.25   7.33E-20  7.33E-20
2882.25   7.37E-20  7.37E-20
2883.25   7.43E-20  7.43E-20
2884.25   7.50E-20  7.50E-20
2885.25   7.55E-20  7.55E-20
2886.25   7.62E-20  7.62E-20
2887.25   7.68E-20  7.68E-20
2888.25   7.74E-20  7.74E-20
2889.25   7.84E-20  7.84E-20
2890.25   7.90E-20  7.90E-20
2891.25   7.92E-20  7.92E-20
2892.25   7.96E-20  7.96E-20
2893.25   8.02E-20  8.02E-20
2894.25   8.08E-20  8.08E-20
2895.25   8.16E-20  8.16E-20
2896.25   8.30E-20  8.30E-20
2897.25   8.41E-20  8.41E-20
2898.25   8.54E-20  8.54E-20
2899.25   8.61E-20  8.61E-20
2900.25   8.69E-20  8.69E-20
2901.25   8.73E-20  8.73E-20
2902.25   8.71E-20  8.71E-20
2903.25   8.72E-20  8.72E-20
2904.25   8.69E-20  8.69E-20
2905.25   8.73E-20  8.73E-20
2906.25   8.68E-20  8.68E-20
2907.25   8.77E-20  8.77E-20
2908.25   8.84E-20  8.84E-20
2909.25   8.95E-20  8.95E-20
2910.25   9.14E-20  9.14E-20
2911.25   9.29E-20  9.29E-20
2912.25   9.45E-20  9.45E-20
2913.25   9.61E-20  9.61E-20
2914.25   9.70E-20  9.70E-20
2915.25   9.76E-20  9.76E-20
2916.25   9.82E-20  9.82E-20
2917.25   9.87E-20  9.87E-20
2918.25   9.86E-20  9.86E-20
2919.25   9.86E-20  9.86E-20
2920.25   9.94E-20  9.94E-20
2921.25   1.00E-19  1.00E-19
2922.25   1.01E-19  1.01E-19
2923.25   1.02E-19  1.02E-19
2924.25   1.03E-19  1.03E-19
2925.25   1.04E-19  1.04E-19
2926.25   1.04E-19  1.04E-19
2927.25   1.03E-19  1.03E-19
2928.25   1.01E-19  1.01E-19
2929.25   9.95E-20  9.95E-20
2930.25   9.84E-20  9.84E-20
2931.25   9.74E-20  9.74E-20
2932.25   9.64E-20  9.64E-20
2933.25   9.59E-20  9.59E-20
2934.26   9.53E-20  9.53E-20
2935.26   9.51E-20  9.51E-20
2936.26   9.45E-20  9.45E-20
2937.26   9.44E-20  9.44E-20
2938.26   9.44E-20  9.44E-20
2939.26   9.47E-20  9.47E-20
2940.26   9.51E-20  9.51E-20
2941.26   9.55E-20  9.55E-20
2942.26   9.68E-20  9.68E-20
2943.26   9.88E-20  9.88E-20
2944.26   1.01E-19  1.01E-19
2945.26   1.03E-19  1.03E-19
2946.26   1.05E-19  1.05E-19
2947.26   1.06E-19  1.06E-19
2948.26   1.07E-19  1.07E-19
2949.26   1.08E-19  1.08E-19
2950.26   1.07E-19  1.07E-19
2951.26   1.06E-19  1.06E-19
2952.26   1.04E-19  1.04E-19
2953.26   1.02E-19  1.02E-19
2954.26   1.01E-19  1.01E-19
2955.26   9.96E-20  9.96E-20
2956.26   9.83E-20  9.83E-20
2957.26   9.86E-20  9.86E-20
2958.26   9.86E-20  9.86E-20
2959.26   9.98E-20  9.98E-20
2960.26   1.01E-19  1.01E-19
2961.26   1.04E-19  1.04E-19
2962.26   1.07E-19  1.07E-19
2963.26   1.09E-19  1.09E-19
2964.26   1.12E-19  1.12E-19
2965.26   1.15E-19  1.15E-19
2966.26   1.17E-19  1.17E-19
2967.26   1.19E-19  1.19E-19
2968.26   1.22E-19  1.22E-19
2969.26   1.24E-19  1.24E-19
2970.26   1.27E-19  1.27E-19
2971.26   1.30E-19  1.30E-19
2972.26   1.34E-19  1.34E-19
2973.26   1.37E-19  1.37E-19
2974.26   1.38E-19  1.38E-19
2975.26   1.39E-19  1.39E-19
2976.26   1.39E-19  1.39E-19
2977.26   1.37E-19  1.37E-19
2978.26   1.34E-19  1.34E-19
2979.26   1.32E-19  1.32E-19
2980.26   1.29E-19  1.29E-19
2981.26   1.26E-19  1.26E-19
2982.26   1.25E-19  1.25E-19
2983.26   1.24E-19  1.24E-19
2984.26   1.24E-19  1.24E-19
2985.26   1.24E-19  1.24E-19
2986.26   1.23E-19  1.23E-19
2987.26   1.23E-19  1.23E-19
2988.26   1.23E-19  1.23E-19
2989.26   1.24E-19  1.24E-19
2990.26   1.25E-19  1.25E-19
2991.26   1.26E-19  1.26E-19
2992.26   1.28E-19  1.28E-19
2993.26   1.28E-19  1.28E-19
2994.26   1.29E-19  1.29E-19
2995.26   1.30E-19  1.30E-19
2996.26   1.30E-19  1.30E-19
2997.26   1.31E-19  1.31E-19
2998.26   1.30E-19  1.30E-19
2999.26   1.30E-19  1.30E-19
3000.26   1.28E-19  1.28E-19
3001.26   1.26E-19  1.26E-19
3002.27   1.25E-19  1.25E-19
3003.27   1.24E-19  1.24E-19
3004.27   1.23E-19  1.23E-19
3005.27   1.24E-19  1.24E-19
3006.27   1.25E-19  1.25E-19
3007.27   1.26E-19  1.26E-19
3008.27   1.26E-19  1.26E-19
3009.27   1.26E-19  1.26E-19
3010.27   1.25E-19  1.25E-19
3011.27   1.25E-19  1.25E-19
3012.27   1.25E-19  1.25E-19
3013.27   1.26E-19  1.26E-19
3014.27   1.28E-19  1.28E-19
3015.27   1.31E-19  1.31E-19
3016.27   1.33E-19  1.33E-19
3017.27   1.36E-19  1.36E-19
3018.27   1.38E-19  1.38E-19
3019.27   1.40E-19  1.40E-19
3020.27   1.43E-19  1.43E-19
3021.27   1.44E-19  1.44E-19
3022.27   1.46E-19  1.46E-19
3023.27   1.47E-19  1.47E-19
3024.27   1.47E-19  1.47E-19
3025.27   1.47E-19  1.47E-19
3026.27   1.48E-19  1.48E-19
3027.27   1.49E-19  1.49E-19
3028.27   1.51E-19  1.51E-19
3029.27   1.53E-19  1.53E-19
3030.27   1.55E-19  1.55E-19
3031.27   1.57E-19  1.57E-19
3032.27   1.58E-19  1.58E-19
3033.27   1.59E-19  1.59E-19
3034.27   1.58E-19  1.58E-19
3035.27   1.58E-19  1.58E-19
3036.27   1.58E-19  1.58E-19
3037.27   1.57E-19  1.57E-19
3038.27   1.56E-19  1.56E-19
3039.27   1.56E-19  1.56E-19
3040.27   1.56E-19  1.56E-19
3041.27   1.55E-19  1.55E-19
3042.27   1.56E-19  1.56E-19
3043.27   1.57E-19  1.57E-19
3044.27   1.58E-19  1.58E-19
3045.27   1.59E-19  1.59E-19
3046.27   1.59E-19  1.59E-19
3047.27   1.60E-19  1.60E-19
3048.27   1.62E-19  1.62E-19
3049.27   1.63E-19  1.63E-19
3050.27   1.64E-19  1.64E-19
3051.27   1.63E-19  1.63E-19
3052.27   1.62E-19  1.62E-19
3053.27   1.61E-19  1.61E-19
3054.27   1.60E-19  1.60E-19
3055.27   1.59E-19  1.59E-19
3056.27   1.57E-19  1.57E-19
3057.27   1.56E-19  1.56E-19
3058.27   1.55E-19  1.55E-19
3059.27   1.55E-19  1.55E-19
3060.27   1.55E-19  1.55E-19
3061.27   1.56E-19  1.56E-19
3062.27   1.57E-19  1.57E-19
3063.27   1.58E-19  1.58E-19
3064.27   1.60E-19  1.60E-19
3065.27   1.62E-19  1.62E-19
3066.27   1.64E-19  1.64E-19
3067.27   1.66E-19  1.66E-19
3068.27   1.68E-19  1.68E-19
3069.27   1.69E-19  1.69E-19
3070.28   1.72E-19  1.72E-19
3071.28   1.74E-19  1.74E-19
3072.28   1.74E-19  1.74E-19
3073.28   1.74E-19  1.74E-19
3074.28   1.74E-19  1.74E-19
3075.28   1.73E-19  1.73E-19
3076.28   1.71E-19  1.71E-19
3077.28   1.69E-19  1.69E-19
3078.28   1.67E-19  1.67E-19
3079.28   1.66E-19  1.66E-19
3080.28   1.66E-19  1.66E-19
3081.28   1.65E-19  1.65E-19
3082.28   1.64E-19  1.64E-19
3083.28   1.64E-19  1.64E-19
3084.28   1.65E-19  1.65E-19
3085.28   1.67E-19  1.67E-19
3086.28   1.71E-19  1.71E-19
3087.28   1.75E-19  1.75E-19
3088.28   1.80E-19  1.80E-19
3089.28   1.86E-19  1.86E-19
3090.28   1.88E-19  1.88E-19
3091.28   1.92E-19  1.92E-19
3092.28   1.92E-19  1.92E-19
3093.28   1.93E-19  1.93E-19
3094.28   1.94E-19  1.94E-19
3095.28   1.94E-19  1.94E-19
3096.28   1.93E-19  1.93E-19
3097.28   1.92E-19  1.92E-19
3098.28   1.89E-19  1.89E-19
3099.28   1.87E-19  1.87E-19
3100.28   1.85E-19  1.85E-19
3101.28   1.84E-19  1.84E-19
3102.28   1.84E-19  1.84E-19
3103.28   1.85E-19  1.85E-19
3104.28   1.86E-19  1.86E-19
3105.28   1.88E-19  1.88E-19
3106.28   1.90E-19  1.90E-19
3107.28   1.92E-19  1.92E-19
3108.28   1.93E-19  1.93E-19
3109.28   1.94E-19  1.94E-19
3110.28   1.95E-19  1.95E-19
3111.28   1.95E-19  1.95E-19
3112.28   1.97E-19  1.97E-19
3113.28   1.99E-19  1.99E-19
3114.28   2.00E-19  2.00E-19
3115.28   2.01E-19  2.01E-19
3116.28   2.01E-19  2.01E-19
3117.28   2.01E-19  2.01E-19
3118.28   1.99E-19  1.99E-19
3119.28   1.99E-19  1.99E-19
3120.28   2.01E-19  2.01E-19
3121.28   2.03E-19  2.03E-19
3122.28   2.06E-19  2.06E-19
3123.28   2.11E-19  2.11E-19
3124.28   2.13E-19  2.13E-19
3125.28   2.14E-19  2.14E-19
3126.28   2.14E-19  2.14E-19
3127.28   2.14E-19  2.14E-19
3128.28   2.13E-19  2.13E-19
3129.28   2.11E-19  2.11E-19
3130.28   2.09E-19  2.09E-19
3131.28   2.08E-19  2.08E-19
3132.28   2.06E-19  2.06E-19
3133.28   2.05E-19  2.05E-19
3134.28   2.03E-19  2.03E-19
3135.28   2.01E-19  2.01E-19
3136.28   2.00E-19  2.00E-19
3137.28   2.00E-19  2.00E-19
3138.29   2.00E-19  2.00E-19
3139.29   2.01E-19  2.01E-19
3140.29   2.01E-19  2.01E-19
3141.29   2.02E-19  2.02E-19
3142.29   2.05E-19  2.05E-19
3143.29   2.06E-19  2.06E-19
3144.29   2.09E-19  2.09E-19
3145.29   2.14E-19  2.14E-19
3146.29   2.17E-19  2.17E-19
3147.29   2.21E-19  2.21E-19
3148.29   2.25E-19  2.25E-19
3149.29   2.27E-19  2.27E-19
3150.29   2.29E-19  2.29E-19
3151.29   2.29E-19  2.29E-19
3152.29   2.27E-19  2.27E-19
3153.29   2.24E-19  2.24E-19
3154.29   2.23E-19  2.23E-19
3155.29   2.21E-19  2.21E-19
3156.29   2.20E-19  2.20E-19
3157.29   2.18E-19  2.18E-19
3158.29   2.17E-19  2.17E-19
3159.29   2.15E-19  2.15E-19
3160.29   2.14E-19  2.14E-19
3161.29   2.13E-19  2.13E-19
3162.29   2.14E-19  2.14E-19
3163.29   2.11E-19  2.11E-19
3164.29   2.15E-19  2.15E-19
3165.29   2.17E-19  2.17E-19
3166.29   2.18E-19  2.18E-19
3167.29   2.21E-19  2.21E-19
3168.29   2.24E-19  2.24E-19
3169.29   2.26E-19  2.26E-19
3170.29   2.29E-19  2.29E-19
3171.29   2.32E-19  2.32E-19
3172.29   2.37E-19  2.37E-19
3173.29   2.40E-19  2.40E-19
3174.29   2.45E-19  2.45E-19
3175.29   2.49E-19  2.49E-19
3176.29   2.52E-19  2.52E-19
3177.29   2.53E-19  2.53E-19
3178.29   2.53E-19  2.53E-19
3179.29   2.52E-19  2.52E-19
3180.29   2.51E-19  2.51E-19
3181.29   2.51E-19  2.51E-19
3182.29   2.52E-19  2.52E-19
3183.29   2.49E-19  2.49E-19
3184.29   2.47E-19  2.47E-19
3185.29   2.44E-19  2.44E-19
3186.29   2.43E-19  2.43E-19
3187.29   2.40E-19  2.40E-19
3188.29   2.40E-19  2.40E-19
3189.29   2.39E-19  2.39E-19
3190.29   2.38E-19  2.38E-19
3191.29   2.39E-19  2.39E-19
3192.29   2.37E-19  2.37E-19
3193.29   2.39E-19  2.39E-19
3194.29   2.39E-19  2.39E-19
3195.29   2.42E-19  2.42E-19
3196.29   2.45E-19  2.45E-19
3197.29   2.49E-19  2.49E-19
3198.29   2.53E-19  2.53E-19
3199.29   2.58E-19  2.58E-19
3200.29   2.60E-19  2.60E-19
3201.29   2.63E-19  2.63E-19
3202.29   2.66E-19  2.66E-19
3203.29   2.67E-19  2.67E-19
3204.29   2.67E-19  2.67E-19
3205.29   2.65E-19  2.65E-19
3206.30   2.62E-19  2.62E-19
3207.30   2.58E-19  2.58E-19
3208.30   2.55E-19  2.55E-19
3209.30   2.54E-19  2.54E-19
3210.30   2.53E-19  2.53E-19
3211.30   2.53E-19  2.53E-19
3212.30   2.52E-19  2.52E-19
3213.30   2.51E-19  2.51E-19
3214.30   2.51E-19  2.51E-19
3215.30   2.51E-19  2.51E-19
3216.30   2.52E-19  2.52E-19
3217.30   2.54E-19  2.54E-19
3218.30   2.56E-19  2.56E-19
3219.30   2.58E-19  2.58E-19
3220.30   2.61E-19  2.61E-19
3221.30   2.64E-19  2.64E-19
3222.30   2.66E-19  2.66E-19
3223.30   2.68E-19  2.68E-19
3224.30   2.70E-19  2.70E-19
3225.30   2.73E-19  2.73E-19
3226.30   2.75E-19  2.75E-19
3227.30   2.76E-19  2.76E-19
3228.30   2.75E-19  2.75E-19
3229.30   2.77E-19  2.77E-19
3230.30   2.77E-19  2.77E-19
3231.30   2.76E-19  2.76E-19
3232.30   2.77E-19  2.77E-19
3233.30   2.75E-19  2.75E-19
3234.30   2.75E-19  2.75E-19
3235.30   2.74E-19  2.74E-19
3236.30   2.74E-19  2.74E-19
3237.30   2.74E-19  2.74E-19
3238.30   2.72E-19  2.72E-19
3239.30   2.71E-19  2.71E-19
3240.30   2.70E-19  2.70E-19
3241.30   2.69E-19  2.69E-19
3242.30   2.69E-19  2.69E-19
3243.30   2.68E-19  2.68E-19
3244.30   2.69E-19  2.69E-19
3245.30   2.70E-19  2.70E-19
3246.30   2.73E-19  2.73E-19
3247.30   2.77E-19  2.77E-19
3248.30   2.79E-19  2.79E-19
3249.30   2.85E-19  2.85E-19
3250.30   2.91E-19  2.91E-19
3251.30   2.98E-19  2.98E-19
3252.30   3.01E-19  3.01E-19
3253.30   3.05E-19  3.05E-19
3254.30   3.06E-19  3.06E-19
3255.30   3.04E-19  3.04E-19
3256.30   3.01E-19  3.01E-19
3257.30   3.01E-19  3.01E-19
3258.30   2.97E-19  2.97E-19
3259.30   2.98E-19  2.98E-19
3260.30   2.98E-19  2.98E-19
3261.30   2.97E-19  2.97E-19
3262.30   3.00E-19  3.00E-19
3263.30   3.03E-19  3.03E-19
3264.30   3.07E-19  3.07E-19
3265.30   3.06E-19  3.06E-19
3266.30   3.06E-19  3.06E-19
3267.30   3.02E-19  3.02E-19
3268.30   2.99E-19  2.99E-19
3269.30   2.95E-19  2.95E-19
3270.30   2.95E-19  2.95E-19
3271.30   2.93E-19  2.93E-19
3272.30   2.93E-19  2.93E-19
3273.30   2.95E-19  2.95E-19
3274.31   2.99E-19  2.99E-19
3275.31   3.04E-19  3.04E-19
3276.31   3.06E-19  3.06E-19
3277.31   3.09E-19  3.09E-19
3278.31   3.11E-19  3.11E-19
3279.31   3.12E-19  3.12E-19
3280.31   3.11E-19  3.11E-19
3281.31   3.09E-19  3.09E-19
3282.31   3.07E-19  3.07E-19
3283.31   3.05E-19  3.05E-19
3284.31   3.04E-19  3.04E-19
3285.31   3.02E-19  3.02E-19
3286.31   3.01E-19  3.01E-19
3287.31   2.98E-19  2.98E-19
3288.31   3.00E-19  3.00E-19
3289.31   3.03E-19  3.03E-19
3290.31   3.07E-19  3.07E-19
3291.31   3.11E-19  3.11E-19
3292.31   3.14E-19  3.14E-19
3293.31   3.17E-19  3.17E-19
3294.31   3.20E-19  3.20E-19
3295.31   3.23E-19  3.23E-19
3296.31   3.25E-19  3.25E-19
3297.31   3.28E-19  3.28E-19
3298.31   3.29E-19  3.29E-19
3299.31   3.29E-19  3.29E-19
3300.31   3.27E-19  3.27E-19
3301.31   3.23E-19  3.23E-19
3302.31   3.19E-19  3.19E-19
3303.31   3.17E-19  3.17E-19
3304.31   3.13E-19  3.13E-19
3305.31   3.13E-19  3.13E-19
3306.31   3.12E-19  3.12E-19
3307.31   3.13E-19  3.13E-19
3308.31   3.14E-19  3.14E-19
3309.31   3.16E-19  3.16E-19
3310.31   3.18E-19  3.18E-19
3311.31   3.20E-19  3.20E-19
3312.31   3.21E-19  3.21E-19
3313.31   3.22E-19  3.22E-19
3314.31   3.22E-19  3.22E-19
3315.31   3.22E-19  3.22E-19
3316.31   3.23E-19  3.23E-19
3317.31   3.21E-19  3.21E-19
3318.31   3.22E-19  3.22E-19
3319.31   3.21E-19  3.21E-19
3320.31   3.22E-19  3.22E-19
3321.31   3.25E-19  3.25E-19
3322.31   3.28E-19  3.28E-19
3323.31   3.34E-19  3.34E-19
3324.31   3.42E-19  3.42E-19
3325.31   3.51E-19  3.51E-19
3326.31   3.60E-19  3.60E-19
3327.31   3.68E-19  3.68E-19
3328.31   3.76E-19  3.76E-19
3329.31   3.82E-19  3.82E-19
3330.31   3.87E-19  3.87E-19
3331.31   3.85E-19  3.85E-19
3332.31   3.84E-19  3.84E-19
3333.31   3.76E-19  3.76E-19
3334.31   3.68E-19  3.68E-19
3335.31   3.62E-19  3.62E-19
3336.31   3.54E-19  3.54E-19
3337.31   3.52E-19  3.52E-19
3338.31   3.47E-19  3.47E-19
3339.31   3.40E-19  3.40E-19
3340.31   3.34E-19  3.34E-19
3341.31   3.24E-19  3.24E-19
3342.32   3.22E-19  3.22E-19
3343.32   3.23E-19  3.23E-19
3344.32   3.23E-19  3.23E-19
3345.32   3.25E-19  3.25E-19
3346.32   3.32E-19  3.32E-19
3347.32   3.40E-19  3.40E-19
3348.32   3.54E-19  3.54E-19
3349.32   3.69E-19  3.69E-19
3350.32   3.78E-19  3.78E-19
3351.32   3.77E-19  3.77E-19
3352.32   3.70E-19  3.70E-19
3353.32   3.62E-19  3.62E-19
3354.32   3.56E-19  3.56E-19
3355.32   3.51E-19  3.51E-19
3356.32   3.48E-19  3.48E-19
3357.32   3.46E-19  3.46E-19
3358.32   3.48E-19  3.48E-19
3359.32   3.51E-19  3.51E-19
3360.32   3.54E-19  3.54E-19
3361.32   3.60E-19  3.60E-19
3362.32   3.64E-19  3.64E-19
3363.32   3.67E-19  3.67E-19
3364.32   3.69E-19  3.69E-19
3365.32   3.70E-19  3.70E-19
3366.32   3.70E-19  3.70E-19
3367.32   3.72E-19  3.72E-19
3368.32   3.74E-19  3.74E-19
3369.32   3.72E-19  3.72E-19
3370.32   3.68E-19  3.68E-19
3371.32   3.63E-19  3.63E-19
3372.32   3.60E-19  3.60E-19
3373.32   3.55E-19  3.55E-19
3374.32   3.51E-19  3.51E-19
3375.32   3.46E-19  3.46E-19
3376.32   3.45E-19  3.45E-19
3377.32   3.41E-19  3.41E-19
3378.32   3.41E-19  3.41E-19
3379.32   3.43E-19  3.43E-19
3380.32   3.48E-19  3.48E-19
3381.32   3.57E-19  3.57E-19
3382.32   3.69E-19  3.69E-19
3383.32   3.86E-19  3.86E-19
3384.32   4.00E-19  4.00E-19
3385.32   4.12E-19  4.12E-19
3386.32   4.17E-19  4.17E-19
3387.32   4.18E-19  4.18E-19
3388.32   4.20E-19  4.20E-19
3389.32   4.22E-19  4.22E-19
3390.32   4.23E-19  4.23E-19
3391.32   4.22E-19  4.22E-19
3392.32   4.18E-19  4.18E-19
3393.32   4.13E-19  4.13E-19
3394.32   4.09E-19  4.09E-19
3395.32   4.02E-19  4.02E-19
3396.32   3.96E-19  3.96E-19
3397.32   3.94E-19  3.94E-19
3398.32   3.94E-19  3.94E-19
3399.32   3.95E-19  3.95E-19
3400.32   3.97E-19  3.97E-19
3401.32   3.97E-19  3.97E-19
3402.32   3.98E-19  3.98E-19
3403.32   4.01E-19  4.01E-19
3404.32   4.02E-19  4.02E-19
3405.32   4.05E-19  4.05E-19
3406.32   4.07E-19  4.07E-19
3407.32   4.12E-19  4.12E-19
3408.32   4.17E-19  4.17E-19
3409.32   4.24E-19  4.24E-19
3410.33   4.31E-19  4.31E-19
3411.33   4.37E-19  4.37E-19
3412.33   4.41E-19  4.41E-19
3413.33   4.43E-19  4.43E-19
3414.33   4.41E-19  4.41E-19
3415.33   4.37E-19  4.37E-19
3416.33   4.34E-19  4.34E-19
3417.33   4.31E-19  4.31E-19
3418.33   4.28E-19  4.28E-19
3419.33   4.19E-19  4.19E-19
3420.33   4.10E-19  4.10E-19
3421.33   4.01E-19  4.01E-19
3422.33   3.95E-19  3.95E-19
3423.33   3.88E-19  3.88E-19
3424.33   3.83E-19  3.83E-19
3425.33   3.79E-19  3.79E-19
3426.33   3.76E-19  3.76E-19
3427.33   3.71E-19  3.71E-19
3428.33   3.68E-19  3.68E-19
3429.33   3.67E-19  3.67E-19
3430.33   3.67E-19  3.67E-19
3431.33   3.67E-19  3.67E-19
3432.33   3.73E-19  3.73E-19
3433.33   3.82E-19  3.82E-19
3434.33   3.91E-19  3.91E-19
3435.33   3.98E-19  3.98E-19
3436.33   4.02E-19  4.02E-19
3437.33   4.05E-19  4.05E-19
3438.33   4.08E-19  4.08E-19
3439.33   4.09E-19  4.09E-19
3440.33   4.09E-19  4.09E-19
