0 Branching ratio for CH3OH      Total        2 branches
Lambda        Total        CH3/OH            CH3O/H
2957.26    0.00E+00    0.00E+00    0.00E+00
2958.26    0.00E+00    0.00E+00    0.00E+00
2959.26    0.00E+00    0.00E+00    0.00E+00
2960.26    0.00E+00    0.00E+00    0.00E+00
2961.26    0.00E+00    0.00E+00    0.00E+00
2962.26    0.00E+00    0.00E+00    0.00E+00
2963.26    0.00E+00    0.00E+00    0.00E+00
2964.26    0.00E+00    0.00E+00    0.00E+00
2965.26    0.00E+00    0.00E+00    0.00E+00
2966.26    0.00E+00    0.00E+00    0.00E+00
2967.26    0.00E+00    0.00E+00    0.00E+00
2968.26    0.00E+00    0.00E+00    0.00E+00
2969.26    0.00E+00    0.00E+00    0.00E+00
2970.26    0.00E+00    0.00E+00    0.00E+00
2971.26    0.00E+00    0.00E+00    0.00E+00
2972.26    0.00E+00    0.00E+00    0.00E+00
2973.26    0.00E+00    0.00E+00    0.00E+00
2974.26    0.00E+00    0.00E+00    0.00E+00
2975.26    0.00E+00    0.00E+00    0.00E+00
2976.26    0.00E+00    0.00E+00    0.00E+00
2977.26    0.00E+00    0.00E+00    0.00E+00
2978.26    0.00E+00    0.00E+00    0.00E+00
2979.26    0.00E+00    0.00E+00    0.00E+00
2980.26    0.00E+00    0.00E+00    0.00E+00
2981.26    0.00E+00    0.00E+00    0.00E+00
2982.26    0.00E+00    0.00E+00    0.00E+00
2983.26    0.00E+00    0.00E+00    0.00E+00
2984.26    0.00E+00    0.00E+00    0.00E+00
2985.26    0.00E+00    0.00E+00    0.00E+00
2986.26    0.00E+00    0.00E+00    0.00E+00
2987.26    0.00E+00    0.00E+00    0.00E+00
2988.26    0.00E+00    0.00E+00    0.00E+00
2989.26    0.00E+00    0.00E+00    0.00E+00
2990.26    0.00E+00    0.00E+00    0.00E+00
2991.26    0.00E+00    0.00E+00    0.00E+00
2992.26    0.00E+00    0.00E+00    0.00E+00
2993.26    0.00E+00    0.00E+00    0.00E+00
2994.26    0.00E+00    0.00E+00    0.00E+00
2995.26    0.00E+00    0.00E+00    0.00E+00
2996.26    0.00E+00    0.00E+00    0.00E+00
2997.26    0.00E+00    0.00E+00    0.00E+00
2998.26    0.00E+00    0.00E+00    0.00E+00
2999.26    0.00E+00    0.00E+00    0.00E+00
3000.26    0.00E+00    0.00E+00    0.00E+00
3001.26    0.00E+00    0.00E+00    0.00E+00
3002.27    0.00E+00    0.00E+00    0.00E+00
3003.27    0.00E+00    0.00E+00    0.00E+00
3004.27    0.00E+00    0.00E+00    0.00E+00
3005.27    0.00E+00    0.00E+00    0.00E+00
3006.27    0.00E+00    0.00E+00    0.00E+00
3007.27    0.00E+00    0.00E+00    0.00E+00
3008.27    0.00E+00    0.00E+00    0.00E+00
3009.27    0.00E+00    0.00E+00    0.00E+00
3010.27    0.00E+00    0.00E+00    0.00E+00
3011.27    0.00E+00    0.00E+00    0.00E+00
3012.27    0.00E+00    0.00E+00    0.00E+00
3013.27    0.00E+00    0.00E+00    0.00E+00
3014.27    0.00E+00    0.00E+00    0.00E+00
3015.27    0.00E+00    0.00E+00    0.00E+00
3016.27    0.00E+00    0.00E+00    0.00E+00
3017.27    0.00E+00    0.00E+00    0.00E+00
3018.27    0.00E+00    0.00E+00    0.00E+00
3019.27    0.00E+00    0.00E+00    0.00E+00
3020.27    0.00E+00    0.00E+00    0.00E+00
3021.27    0.00E+00    0.00E+00    0.00E+00
3022.27    0.00E+00    0.00E+00    0.00E+00
3023.27    0.00E+00    0.00E+00    0.00E+00
3024.27    0.00E+00    0.00E+00    0.00E+00
3025.27    0.00E+00    0.00E+00    0.00E+00
3026.27    0.00E+00    0.00E+00    0.00E+00
3027.27    0.00E+00    0.00E+00    0.00E+00
3028.27    0.00E+00    0.00E+00    0.00E+00
3029.27    0.00E+00    0.00E+00    0.00E+00
3030.27    0.00E+00    0.00E+00    0.00E+00
3031.27    0.00E+00    0.00E+00    0.00E+00
3032.27    0.00E+00    0.00E+00    0.00E+00
3033.27    0.00E+00    0.00E+00    0.00E+00
3034.27    0.00E+00    0.00E+00    0.00E+00
3035.27    0.00E+00    0.00E+00    0.00E+00
3036.27    0.00E+00    0.00E+00    0.00E+00
3037.27    0.00E+00    0.00E+00    0.00E+00
3038.27    0.00E+00    0.00E+00    0.00E+00
3039.27    0.00E+00    0.00E+00    0.00E+00
3040.27    0.00E+00    0.00E+00    0.00E+00
3041.27    0.00E+00    0.00E+00    0.00E+00
3042.27    0.00E+00    0.00E+00    0.00E+00
3043.27    0.00E+00    0.00E+00    0.00E+00
3044.27    0.00E+00    0.00E+00    0.00E+00
3045.27    0.00E+00    0.00E+00    0.00E+00
3046.27    0.00E+00    0.00E+00    0.00E+00
3047.27    0.00E+00    0.00E+00    0.00E+00
3048.27    0.00E+00    0.00E+00    0.00E+00
3049.27    0.00E+00    0.00E+00    0.00E+00
3050.27    0.00E+00    0.00E+00    0.00E+00
3051.27    0.00E+00    0.00E+00    0.00E+00
3052.27    0.00E+00    0.00E+00    0.00E+00
3053.27    0.00E+00    0.00E+00    0.00E+00
3054.27    0.00E+00    0.00E+00    0.00E+00
3055.27    0.00E+00    0.00E+00    0.00E+00
3056.27    0.00E+00    0.00E+00    0.00E+00
3057.27    0.00E+00    0.00E+00    0.00E+00
3058.27    0.00E+00    0.00E+00    0.00E+00
3059.27    0.00E+00    0.00E+00    0.00E+00
3060.27    0.00E+00    0.00E+00    0.00E+00
3061.27    0.00E+00    0.00E+00    0.00E+00
3062.27    0.00E+00    0.00E+00    0.00E+00
3063.27    0.00E+00    0.00E+00    0.00E+00
3064.27    0.00E+00    0.00E+00    0.00E+00
3065.27    0.00E+00    0.00E+00    0.00E+00
3066.27    0.00E+00    0.00E+00    0.00E+00
3067.27    0.00E+00    0.00E+00    0.00E+00
3068.27    0.00E+00    0.00E+00    0.00E+00
3069.27    0.00E+00    0.00E+00    0.00E+00
3070.28    0.00E+00    0.00E+00    0.00E+00
3071.28    0.00E+00    0.00E+00    0.00E+00
3072.28    0.00E+00    0.00E+00    0.00E+00
3073.28    0.00E+00    0.00E+00    0.00E+00
3074.28    0.00E+00    0.00E+00    0.00E+00
3075.28    0.00E+00    0.00E+00    0.00E+00
3076.28    0.00E+00    0.00E+00    0.00E+00
3077.28    0.00E+00    0.00E+00    0.00E+00
3078.28    0.00E+00    0.00E+00    0.00E+00
3079.28    0.00E+00    0.00E+00    0.00E+00
3080.28    0.00E+00    0.00E+00    0.00E+00
3081.28    0.00E+00    0.00E+00    0.00E+00
3082.28    0.00E+00    0.00E+00    0.00E+00
3083.28    0.00E+00    0.00E+00    0.00E+00
3084.28    0.00E+00    0.00E+00    0.00E+00
3085.28    0.00E+00    0.00E+00    0.00E+00
3086.28    0.00E+00    0.00E+00    0.00E+00
3087.28    0.00E+00    0.00E+00    0.00E+00
3088.28    0.00E+00    0.00E+00    0.00E+00
3089.28    0.00E+00    0.00E+00    0.00E+00
3090.28    0.00E+00    0.00E+00    0.00E+00
3091.28    0.00E+00    0.00E+00    0.00E+00
3092.28    0.00E+00    0.00E+00    0.00E+00
3093.28    0.00E+00    0.00E+00    0.00E+00
3094.28    0.00E+00    0.00E+00    0.00E+00
3095.28    0.00E+00    0.00E+00    0.00E+00
3096.28    0.00E+00    0.00E+00    0.00E+00
3097.28    0.00E+00    0.00E+00    0.00E+00
3098.28    0.00E+00    0.00E+00    0.00E+00
3099.28    0.00E+00    0.00E+00    0.00E+00
3100.28    0.00E+00    0.00E+00    0.00E+00
3101.28    0.00E+00    0.00E+00    0.00E+00
3102.28    0.00E+00    0.00E+00    0.00E+00
3103.28    0.00E+00    0.00E+00    0.00E+00
3104.28    0.00E+00    0.00E+00    0.00E+00
3105.28    0.00E+00    0.00E+00    0.00E+00
3106.28    0.00E+00    0.00E+00    0.00E+00
3107.28    0.00E+00    0.00E+00    0.00E+00
3108.28    0.00E+00    0.00E+00    0.00E+00
3109.28    0.00E+00    0.00E+00    0.00E+00
3110.28    0.00E+00    0.00E+00    0.00E+00
3111.28    0.00E+00    0.00E+00    0.00E+00
3112.28    0.00E+00    0.00E+00    0.00E+00
3113.28    0.00E+00    0.00E+00    0.00E+00
3114.28    0.00E+00    0.00E+00    0.00E+00
3115.28    0.00E+00    0.00E+00    0.00E+00
3116.28    0.00E+00    0.00E+00    0.00E+00
3117.28    0.00E+00    0.00E+00    0.00E+00
3118.28    0.00E+00    0.00E+00    0.00E+00
3119.28    0.00E+00    0.00E+00    0.00E+00
3120.28    0.00E+00    0.00E+00    0.00E+00
3121.28    0.00E+00    0.00E+00    0.00E+00
3122.28    0.00E+00    0.00E+00    0.00E+00
3123.28    0.00E+00    0.00E+00    0.00E+00
3124.28    0.00E+00    0.00E+00    0.00E+00
3125.28    0.00E+00    0.00E+00    0.00E+00
3126.28    0.00E+00    0.00E+00    0.00E+00
3127.28    0.00E+00    0.00E+00    0.00E+00
3128.28    0.00E+00    0.00E+00    0.00E+00
3129.28    0.00E+00    0.00E+00    0.00E+00
3130.28    0.00E+00    0.00E+00    0.00E+00
3131.28    0.00E+00    0.00E+00    0.00E+00
3132.28    0.00E+00    0.00E+00    0.00E+00
3133.28    0.00E+00    0.00E+00    0.00E+00
3134.28    0.00E+00    0.00E+00    0.00E+00
3135.28    0.00E+00    0.00E+00    0.00E+00
3136.28    0.00E+00    0.00E+00    0.00E+00
3137.28    0.00E+00    0.00E+00    0.00E+00
3138.29    0.00E+00    0.00E+00    0.00E+00
3139.29    0.00E+00    0.00E+00    0.00E+00
3140.29    0.00E+00    0.00E+00    0.00E+00
3141.29    0.00E+00    0.00E+00    0.00E+00
3142.29    0.00E+00    0.00E+00    0.00E+00
3143.29    0.00E+00    0.00E+00    0.00E+00
3144.29    0.00E+00    0.00E+00    0.00E+00
3145.29    0.00E+00    0.00E+00    0.00E+00
3146.29    0.00E+00    0.00E+00    0.00E+00
3147.29    0.00E+00    0.00E+00    0.00E+00
3148.29    0.00E+00    0.00E+00    0.00E+00
3149.29    0.00E+00    0.00E+00    0.00E+00
3150.29    0.00E+00    0.00E+00    0.00E+00
3151.29    0.00E+00    0.00E+00    0.00E+00
3152.29    0.00E+00    0.00E+00    0.00E+00
3153.29    0.00E+00    0.00E+00    0.00E+00
3154.29    0.00E+00    0.00E+00    0.00E+00
3155.29    0.00E+00    0.00E+00    0.00E+00
3156.29    0.00E+00    0.00E+00    0.00E+00
3157.29    0.00E+00    0.00E+00    0.00E+00
3158.29    0.00E+00    0.00E+00    0.00E+00
3159.29    0.00E+00    0.00E+00    0.00E+00
3160.29    0.00E+00    0.00E+00    0.00E+00
3161.29    0.00E+00    0.00E+00    0.00E+00
3162.29    0.00E+00    0.00E+00    0.00E+00
3163.29    0.00E+00    0.00E+00    0.00E+00
3164.29    0.00E+00    0.00E+00    0.00E+00
3165.29    0.00E+00    0.00E+00    0.00E+00
3166.29    0.00E+00    0.00E+00    0.00E+00
3167.29    0.00E+00    0.00E+00    0.00E+00
3168.29    0.00E+00    0.00E+00    0.00E+00
3169.29    0.00E+00    0.00E+00    0.00E+00
3170.29    0.00E+00    0.00E+00    0.00E+00
3171.29    0.00E+00    0.00E+00    0.00E+00
3172.29    0.00E+00    0.00E+00    0.00E+00
3173.29    0.00E+00    0.00E+00    0.00E+00
3174.29    0.00E+00    0.00E+00    0.00E+00
3175.29    0.00E+00    0.00E+00    0.00E+00
3176.29    0.00E+00    0.00E+00    0.00E+00
3177.29    0.00E+00    0.00E+00    0.00E+00
3178.29    0.00E+00    0.00E+00    0.00E+00
3179.29    0.00E+00    0.00E+00    0.00E+00
3180.29    0.00E+00    0.00E+00    0.00E+00
3181.29    0.00E+00    0.00E+00    0.00E+00
3182.29    0.00E+00    0.00E+00    0.00E+00
3183.29    0.00E+00    0.00E+00    0.00E+00
3184.29    0.00E+00    0.00E+00    0.00E+00
3185.29    0.00E+00    0.00E+00    0.00E+00
3186.29    0.00E+00    0.00E+00    0.00E+00
3187.29    0.00E+00    0.00E+00    0.00E+00
3188.29    0.00E+00    0.00E+00    0.00E+00
3189.29    0.00E+00    0.00E+00    0.00E+00
3190.29    0.00E+00    0.00E+00    0.00E+00
3191.29    0.00E+00    0.00E+00    0.00E+00
3192.29    0.00E+00    0.00E+00    0.00E+00
3193.29    0.00E+00    0.00E+00    0.00E+00
3194.29    0.00E+00    0.00E+00    0.00E+00
3195.29    0.00E+00    0.00E+00    0.00E+00
3196.29    0.00E+00    0.00E+00    0.00E+00
3197.29    0.00E+00    0.00E+00    0.00E+00
3198.29    0.00E+00    0.00E+00    0.00E+00
3199.29    0.00E+00    0.00E+00    0.00E+00
3200.29    0.00E+00    0.00E+00    0.00E+00
3201.29    0.00E+00    0.00E+00    0.00E+00
3202.29    0.00E+00    0.00E+00    0.00E+00
3203.29    0.00E+00    0.00E+00    0.00E+00
3204.29    0.00E+00    0.00E+00    0.00E+00
3205.29    0.00E+00    0.00E+00    0.00E+00
3206.3    0.00E+00    0.00E+00    0.00E+00
3207.3    0.00E+00    0.00E+00    0.00E+00
3208.3    0.00E+00    0.00E+00    0.00E+00
3209.3    0.00E+00    0.00E+00    0.00E+00
3210.3    0.00E+00    0.00E+00    0.00E+00
3211.3    0.00E+00    0.00E+00    0.00E+00
3212.3    0.00E+00    0.00E+00    0.00E+00
3213.3    0.00E+00    0.00E+00    0.00E+00
3214.3    0.00E+00    0.00E+00    0.00E+00
3215.3    0.00E+00    0.00E+00    0.00E+00
3216.3    0.00E+00    0.00E+00    0.00E+00
3217.3    0.00E+00    0.00E+00    0.00E+00
3218.3    0.00E+00    0.00E+00    0.00E+00
3219.3    0.00E+00    0.00E+00    0.00E+00
3220.3    0.00E+00    0.00E+00    0.00E+00
3221.3    0.00E+00    0.00E+00    0.00E+00
3222.3    0.00E+00    0.00E+00    0.00E+00
3223.3    0.00E+00    0.00E+00    0.00E+00
3224.3    0.00E+00    0.00E+00    0.00E+00
3225.3    0.00E+00    0.00E+00    0.00E+00
3226.3    0.00E+00    0.00E+00    0.00E+00
3227.3    0.00E+00    0.00E+00    0.00E+00
3228.3    0.00E+00    0.00E+00    0.00E+00
3229.3    0.00E+00    0.00E+00    0.00E+00
3230.3    0.00E+00    0.00E+00    0.00E+00
3231.3    0.00E+00    0.00E+00    0.00E+00
3232.3    0.00E+00    0.00E+00    0.00E+00
3233.3    0.00E+00    0.00E+00    0.00E+00
3234.3    0.00E+00    0.00E+00    0.00E+00
3235.3    0.00E+00    0.00E+00    0.00E+00
3236.3    0.00E+00    0.00E+00    0.00E+00
3237.3    0.00E+00    0.00E+00    0.00E+00
3238.3    0.00E+00    0.00E+00    0.00E+00
3239.3    0.00E+00    0.00E+00    0.00E+00
3240.3    0.00E+00    0.00E+00    0.00E+00
3241.3    0.00E+00    0.00E+00    0.00E+00
3242.3    0.00E+00    0.00E+00    0.00E+00
3243.3    0.00E+00    0.00E+00    0.00E+00
3244.3    0.00E+00    0.00E+00    0.00E+00
3245.3    0.00E+00    0.00E+00    0.00E+00
3246.3    0.00E+00    0.00E+00    0.00E+00
3247.3    0.00E+00    0.00E+00    0.00E+00
3248.3    0.00E+00    0.00E+00    0.00E+00
3249.3    0.00E+00    0.00E+00    0.00E+00
3250.3    0.00E+00    0.00E+00    0.00E+00
3251.3    0.00E+00    0.00E+00    0.00E+00
3252.3    0.00E+00    0.00E+00    0.00E+00
3253.3    0.00E+00    0.00E+00    0.00E+00
3254.3    0.00E+00    0.00E+00    0.00E+00
3255.3    0.00E+00    0.00E+00    0.00E+00
3256.3    0.00E+00    0.00E+00    0.00E+00
3257.3    0.00E+00    0.00E+00    0.00E+00
3258.3    0.00E+00    0.00E+00    0.00E+00
3259.3    0.00E+00    0.00E+00    0.00E+00
3260.3    0.00E+00    0.00E+00    0.00E+00
3261.3    0.00E+00    0.00E+00    0.00E+00
3262.3    0.00E+00    0.00E+00    0.00E+00
3263.3    0.00E+00    0.00E+00    0.00E+00
3264.3    0.00E+00    0.00E+00    0.00E+00
3265.3    0.00E+00    0.00E+00    0.00E+00
3266.3    0.00E+00    0.00E+00    0.00E+00
3267.3    0.00E+00    0.00E+00    0.00E+00
3268.3    0.00E+00    0.00E+00    0.00E+00
3269.3    0.00E+00    0.00E+00    0.00E+00
3270.3    0.00E+00    0.00E+00    0.00E+00
3271.3    0.00E+00    0.00E+00    0.00E+00
3272.3    0.00E+00    0.00E+00    0.00E+00
3273.3    0.00E+00    0.00E+00    0.00E+00
3274.31    0.00E+00    0.00E+00    0.00E+00
3275.31    0.00E+00    0.00E+00    0.00E+00
3276.31    0.00E+00    0.00E+00    0.00E+00
3277.31    0.00E+00    0.00E+00    0.00E+00
3278.31    0.00E+00    0.00E+00    0.00E+00
3279.31    0.00E+00    0.00E+00    0.00E+00
3280.31    0.00E+00    0.00E+00    0.00E+00
3281.31    0.00E+00    0.00E+00    0.00E+00
3282.31    0.00E+00    0.00E+00    0.00E+00
3283.31    0.00E+00    0.00E+00    0.00E+00
3284.31    0.00E+00    0.00E+00    0.00E+00
3285.31    0.00E+00    0.00E+00    0.00E+00
3286.31    0.00E+00    0.00E+00    0.00E+00
3287.31    0.00E+00    0.00E+00    0.00E+00
3288.31    0.00E+00    0.00E+00    0.00E+00
3289.31    0.00E+00    0.00E+00    0.00E+00
3290.31    0.00E+00    0.00E+00    0.00E+00
3291.31    0.00E+00    0.00E+00    0.00E+00
3292.31    0.00E+00    0.00E+00    0.00E+00
3293.31    0.00E+00    0.00E+00    0.00E+00
3294.31    0.00E+00    0.00E+00    0.00E+00
3295.31    0.00E+00    0.00E+00    0.00E+00
3296.31    0.00E+00    0.00E+00    0.00E+00
3297.31    0.00E+00    0.00E+00    0.00E+00
3298.31    0.00E+00    0.00E+00    0.00E+00
3299.31    0.00E+00    0.00E+00    0.00E+00
3300.31    0.00E+00    0.00E+00    0.00E+00
3301.31    0.00E+00    0.00E+00    0.00E+00
3302.31    0.00E+00    0.00E+00    0.00E+00
3303.31    0.00E+00    0.00E+00    0.00E+00
3304.31    0.00E+00    0.00E+00    0.00E+00
3305.31    0.00E+00    0.00E+00    0.00E+00
3306.31    0.00E+00    0.00E+00    0.00E+00
3307.31    0.00E+00    0.00E+00    0.00E+00
3308.31    0.00E+00    0.00E+00    0.00E+00
3309.31    0.00E+00    0.00E+00    0.00E+00
3310.31    0.00E+00    0.00E+00    0.00E+00
3311.31    0.00E+00    0.00E+00    0.00E+00
3312.31    0.00E+00    0.00E+00    0.00E+00
3313.31    0.00E+00    0.00E+00    0.00E+00
3314.31    0.00E+00    0.00E+00    0.00E+00
3315.31    0.00E+00    0.00E+00    0.00E+00
3316.31    0.00E+00    0.00E+00    0.00E+00
3317.31    0.00E+00    0.00E+00    0.00E+00
3318.31    0.00E+00    0.00E+00    0.00E+00
3319.31    0.00E+00    0.00E+00    0.00E+00
3320.31    0.00E+00    0.00E+00    0.00E+00
3321.31    0.00E+00    0.00E+00    0.00E+00
3322.31    0.00E+00    0.00E+00    0.00E+00
3323.31    0.00E+00    0.00E+00    0.00E+00
3324.31    0.00E+00    0.00E+00    0.00E+00
3325.31    0.00E+00    0.00E+00    0.00E+00
3326.31    0.00E+00    0.00E+00    0.00E+00
3327.31    0.00E+00    0.00E+00    0.00E+00
3328.31    0.00E+00    0.00E+00    0.00E+00
3329.31    0.00E+00    0.00E+00    0.00E+00
3330.31    0.00E+00    0.00E+00    0.00E+00
3331.31    0.00E+00    0.00E+00    0.00E+00
3332.31    0.00E+00    0.00E+00    0.00E+00
3333.31    0.00E+00    0.00E+00    0.00E+00
3334.31    0.00E+00    0.00E+00    0.00E+00
3335.31    0.00E+00    0.00E+00    0.00E+00
3336.31    0.00E+00    0.00E+00    0.00E+00
3337.31    0.00E+00    0.00E+00    0.00E+00
3338.31    0.00E+00    0.00E+00    0.00E+00
3339.31    0.00E+00    0.00E+00    0.00E+00
3340.31    0.00E+00    0.00E+00    0.00E+00
3341.31    0.00E+00    0.00E+00    0.00E+00
3342.32    0.00E+00    0.00E+00    0.00E+00
3343.32    0.00E+00    0.00E+00    0.00E+00
3344.32    0.00E+00    0.00E+00    0.00E+00
3345.32    0.00E+00    0.00E+00    0.00E+00
3346.32    0.00E+00    0.00E+00    0.00E+00
3347.32    0.00E+00    0.00E+00    0.00E+00
3348.32    0.00E+00    0.00E+00    0.00E+00
3349.32    0.00E+00    0.00E+00    0.00E+00
3350.32    0.00E+00    0.00E+00    0.00E+00
3351.32    0.00E+00    0.00E+00    0.00E+00
3352.32    0.00E+00    0.00E+00    0.00E+00
3353.32    0.00E+00    0.00E+00    0.00E+00
3354.32    0.00E+00    0.00E+00    0.00E+00
3355.32    0.00E+00    0.00E+00    0.00E+00
3356.32    0.00E+00    0.00E+00    0.00E+00
3357.32    0.00E+00    0.00E+00    0.00E+00
3358.32    0.00E+00    0.00E+00    0.00E+00
3359.32    0.00E+00    0.00E+00    0.00E+00
3360.32    0.00E+00    0.00E+00    0.00E+00
3361.32    0.00E+00    0.00E+00    0.00E+00
3362.32    0.00E+00    0.00E+00    0.00E+00
3363.32    0.00E+00    0.00E+00    0.00E+00
3364.32    0.00E+00    0.00E+00    0.00E+00
3365.32    0.00E+00    0.00E+00    0.00E+00
3366.32    0.00E+00    0.00E+00    0.00E+00
3367.32    0.00E+00    0.00E+00    0.00E+00
3368.32    0.00E+00    0.00E+00    0.00E+00
3369.32    0.00E+00    0.00E+00    0.00E+00
3370.32    0.00E+00    0.00E+00    0.00E+00
3371.32    0.00E+00    0.00E+00    0.00E+00
3372.32    0.00E+00    0.00E+00    0.00E+00
3373.32    0.00E+00    0.00E+00    0.00E+00
3374.32    0.00E+00    0.00E+00    0.00E+00
3375.32    0.00E+00    0.00E+00    0.00E+00
3376.32    0.00E+00    0.00E+00    0.00E+00
3377.32    0.00E+00    0.00E+00    0.00E+00
3378.32    0.00E+00    0.00E+00    0.00E+00
3379.32    0.00E+00    0.00E+00    0.00E+00
3380.32    0.00E+00    0.00E+00    0.00E+00
3381.32    0.00E+00    0.00E+00    0.00E+00
3382.32    0.00E+00    0.00E+00    0.00E+00
3383.32    0.00E+00    0.00E+00    0.00E+00
3384.32    0.00E+00    0.00E+00    0.00E+00
3385.32    0.00E+00    0.00E+00    0.00E+00
3386.32    0.00E+00    0.00E+00    0.00E+00
3387.32    0.00E+00    0.00E+00    0.00E+00
3388.32    0.00E+00    0.00E+00    0.00E+00
3389.32    0.00E+00    0.00E+00    0.00E+00
3390.32    0.00E+00    0.00E+00    0.00E+00
3391.32    0.00E+00    0.00E+00    0.00E+00
3392.32    0.00E+00    0.00E+00    0.00E+00
3393.32    0.00E+00    0.00E+00    0.00E+00
3394.32    0.00E+00    0.00E+00    0.00E+00
3395.32    0.00E+00    0.00E+00    0.00E+00
3396.32    0.00E+00    0.00E+00    0.00E+00
3397.32    0.00E+00    0.00E+00    0.00E+00
3398.32    0.00E+00    0.00E+00    0.00E+00
3399.32    0.00E+00    0.00E+00    0.00E+00
3400.32    0.00E+00    0.00E+00    0.00E+00
3401.32    0.00E+00    0.00E+00    0.00E+00
3402.32    0.00E+00    0.00E+00    0.00E+00
3403.32    0.00E+00    0.00E+00    0.00E+00
3404.32    0.00E+00    0.00E+00    0.00E+00
3405.32    0.00E+00    0.00E+00    0.00E+00
3406.32    0.00E+00    0.00E+00    0.00E+00
3407.32    0.00E+00    0.00E+00    0.00E+00
3408.32    0.00E+00    0.00E+00    0.00E+00
3409.32    0.00E+00    0.00E+00    0.00E+00
3410.33    0.00E+00    0.00E+00    0.00E+00
3411.33    0.00E+00    0.00E+00    0.00E+00
3412.33    0.00E+00    0.00E+00    0.00E+00
3413.33    0.00E+00    0.00E+00    0.00E+00
3414.33    0.00E+00    0.00E+00    0.00E+00
3415.33    0.00E+00    0.00E+00    0.00E+00
3416.33    0.00E+00    0.00E+00    0.00E+00
3417.33    0.00E+00    0.00E+00    0.00E+00
3418.33    0.00E+00    0.00E+00    0.00E+00
3419.33    0.00E+00    0.00E+00    0.00E+00
3420.33    0.00E+00    0.00E+00    0.00E+00
3421.33    0.00E+00    0.00E+00    0.00E+00
3422.33    0.00E+00    0.00E+00    0.00E+00
3423.33    0.00E+00    0.00E+00    0.00E+00
3424.33    0.00E+00    0.00E+00    0.00E+00
3425.33    0.00E+00    0.00E+00    0.00E+00
3426.33    0.00E+00    0.00E+00    0.00E+00
3427.33    0.00E+00    0.00E+00    0.00E+00
3428.33    0.00E+00    0.00E+00    0.00E+00
3429.33    0.00E+00    0.00E+00    0.00E+00
3430.33    0.00E+00    0.00E+00    0.00E+00
3431.33    0.00E+00    0.00E+00    0.00E+00
3432.33    0.00E+00    0.00E+00    0.00E+00
3433.33    0.00E+00    0.00E+00    0.00E+00
3434.33    0.00E+00    0.00E+00    0.00E+00
3435.33    0.00E+00    0.00E+00    0.00E+00
3436.33    0.00E+00    0.00E+00    0.00E+00
3437.33    0.00E+00    0.00E+00    0.00E+00
3438.33    0.00E+00    0.00E+00    0.00E+00
3439.33    0.00E+00    0.00E+00    0.00E+00
3440.33    0.00E+00    0.00E+00    0.00E+00
3441.33    0.00E+00    0.00E+00    0.00E+00
3442.33    0.00E+00    0.00E+00    0.00E+00
3443.33    0.00E+00    0.00E+00    0.00E+00
3444.33    0.00E+00    0.00E+00    0.00E+00
3445.33    0.00E+00    0.00E+00    0.00E+00
3446.33    0.00E+00    0.00E+00    0.00E+00
3447.33    0.00E+00    0.00E+00    0.00E+00
3448.33    0.00E+00    0.00E+00    0.00E+00
3449.33    0.00E+00    0.00E+00    0.00E+00
3450.33    0.00E+00    0.00E+00    0.00E+00
3451.33    0.00E+00    0.00E+00    0.00E+00
3452.33    0.00E+00    0.00E+00    0.00E+00
3453.33    0.00E+00    0.00E+00    0.00E+00
3454.33    0.00E+00    0.00E+00    0.00E+00
3455.33    0.00E+00    0.00E+00    0.00E+00
3456.33    0.00E+00    0.00E+00    0.00E+00
3457.33    0.00E+00    0.00E+00    0.00E+00
3458.33    0.00E+00    0.00E+00    0.00E+00
3459.33    0.00E+00    0.00E+00    0.00E+00
3460.33    0.00E+00    0.00E+00    0.00E+00
3461.33    0.00E+00    0.00E+00    0.00E+00
3462.33    0.00E+00    0.00E+00    0.00E+00
3463.33    0.00E+00    0.00E+00    0.00E+00
3464.33    0.00E+00    0.00E+00    0.00E+00
3465.33    0.00E+00    0.00E+00    0.00E+00
3466.33    0.00E+00    0.00E+00    0.00E+00
3467.33    0.00E+00    0.00E+00    0.00E+00
3468.33    0.00E+00    0.00E+00    0.00E+00
3469.33    0.00E+00    0.00E+00    0.00E+00
3470.33    0.00E+00    0.00E+00    0.00E+00
3471.33    0.00E+00    0.00E+00    0.00E+00
3472.33    0.00E+00    0.00E+00    0.00E+00
3473.33    0.00E+00    0.00E+00    0.00E+00
3474.33    0.00E+00    0.00E+00    0.00E+00
3475.33    0.00E+00    0.00E+00    0.00E+00
3476.33    0.00E+00    0.00E+00    0.00E+00
3477.33    0.00E+00    0.00E+00    0.00E+00
3478.34    0.00E+00    0.00E+00    0.00E+00
3479.34    0.00E+00    0.00E+00    0.00E+00
3480.34    0.00E+00    0.00E+00    0.00E+00
3481.34    0.00E+00    0.00E+00    0.00E+00
3482.34    0.00E+00    0.00E+00    0.00E+00
3483.34    0.00E+00    0.00E+00    0.00E+00
3484.34    0.00E+00    0.00E+00    0.00E+00
3485.34    0.00E+00    0.00E+00    0.00E+00
3486.34    0.00E+00    0.00E+00    0.00E+00
3487.34    0.00E+00    0.00E+00    0.00E+00
3488.34    0.00E+00    0.00E+00    0.00E+00
3489.34    0.00E+00    0.00E+00    0.00E+00
3490.34    0.00E+00    0.00E+00    0.00E+00
3491.34    0.00E+00    0.00E+00    0.00E+00
3492.34    0.00E+00    0.00E+00    0.00E+00
