0 Branching ratio for CH3OH      Total        2 branches
Lambda        Total        CH3/OH            CH3O/H
1388.03    3.63E-18    1.82E-18    1.82E-18
1389.03    3.66E-18    1.83E-18    1.83E-18
1390.03    3.80E-18    1.90E-18    1.90E-18
1391.03    4.00E-18    2.00E-18    2.00E-18
1392.03    4.10E-18    2.05E-18    2.05E-18
1393.03    4.06E-18    2.03E-18    2.03E-18
1394.03    3.80E-18    1.90E-18    1.90E-18
1395.03    3.61E-18    1.81E-18    1.81E-18
1396.03    3.62E-18    1.81E-18    1.81E-18
1397.03    3.66E-18    1.83E-18    1.83E-18
1398.03    3.63E-18    1.81E-18    1.81E-18
1399.03    3.55E-18    1.78E-18    1.78E-18
1400.03    3.48E-18    1.74E-18    1.74E-18
1401.03    3.39E-18    1.70E-18    1.70E-18
1402.03    3.32E-18    1.66E-18    1.66E-18
1403.03    3.25E-18    1.62E-18    1.62E-18
1404.03    3.18E-18    1.59E-18    1.59E-18
1405.03    3.13E-18    1.56E-18    1.56E-18
1406.03    3.09E-18    1.55E-18    1.55E-18
1407.03    3.09E-18    1.54E-18    1.54E-18
1408.03    3.13E-18    1.57E-18    1.57E-18
1409.03    3.20E-18    1.60E-18    1.60E-18
1410.03    3.29E-18    1.65E-18    1.65E-18
1411.03    3.41E-18    1.70E-18    1.70E-18
1412.03    3.57E-18    1.79E-18    1.79E-18
1413.03    3.77E-18    1.88E-18    1.88E-18
1414.03    3.96E-18    1.98E-18    1.98E-18
1415.03    4.11E-18    2.05E-18    2.05E-18
1416.03    4.27E-18    2.13E-18    2.13E-18
1417.03    4.42E-18    2.21E-18    2.21E-18
1418.03    4.54E-18    2.27E-18    2.27E-18
1419.03    4.62E-18    2.31E-18    2.31E-18
1420.03    4.59E-18    2.30E-18    2.30E-18
1421.03    4.51E-18    2.25E-18    2.25E-18
1422.03    4.49E-18    2.24E-18    2.24E-18
1423.03    4.51E-18    2.25E-18    2.25E-18
1424.03    4.49E-18    2.25E-18    2.25E-18
1425.03    4.42E-18    2.21E-18    2.21E-18
1426.03    4.39E-18    2.20E-18    2.20E-18
1427.03    4.40E-18    2.20E-18    2.20E-18
1428.03    4.40E-18    2.20E-18    2.20E-18
1429.03    4.43E-18    2.21E-18    2.21E-18
1430.03    4.51E-18    2.25E-18    2.25E-18
1431.03    4.62E-18    2.31E-18    2.31E-18
1432.03    4.75E-18    2.37E-18    2.37E-18
1433.03    4.93E-18    2.46E-18    2.46E-18
1434.03    5.15E-18    2.58E-18    2.58E-18
1435.03    5.39E-18    2.69E-18    2.69E-18
1436.03    5.62E-18    2.81E-18    2.81E-18
1437.03    5.86E-18    2.93E-18    2.93E-18
1438.04    6.07E-18    3.03E-18    3.03E-18
1439.04    6.31E-18    3.16E-18    3.16E-18
1440.04    6.64E-18    3.32E-18    3.32E-18
1441.04    7.02E-18    3.51E-18    3.51E-18
1442.04    7.35E-18    3.67E-18    3.67E-18
1443.04    7.57E-18    3.79E-18    3.79E-18
1444.04    7.75E-18    3.88E-18    3.88E-18
1445.04    7.90E-18    3.95E-18    3.95E-18
1446.04    7.97E-18    3.99E-18    3.99E-18
1447.04    8.00E-18    4.00E-18    4.00E-18
1448.04    7.88E-18    3.94E-18    3.94E-18
1449.04    7.55E-18    3.78E-18    3.78E-18
1450.04    7.28E-18    3.64E-18    3.64E-18
1451.04    7.15E-18    3.57E-18    3.57E-18
1452.04    7.05E-18    3.53E-18    3.53E-18
1453.04    6.97E-18    3.49E-18    3.49E-18
1454.04    6.91E-18    3.45E-18    3.45E-18
1455.04    6.85E-18    3.42E-18    3.42E-18
1456.04    6.88E-18    3.44E-18    3.44E-18
1457.04    7.10E-18    3.55E-18    3.55E-18
1458.04    7.46E-18    3.73E-18    3.73E-18
1459.04    7.90E-18    3.95E-18    3.95E-18
1460.04    8.34E-18    4.17E-18    4.17E-18
1461.04    8.88E-18    4.44E-18    4.44E-18
1462.04    9.73E-18    4.86E-18    4.86E-18
1463.04    1.06E-17    5.30E-18    5.30E-18
1464.04    1.14E-17    5.68E-18    5.68E-18
1465.04    1.23E-17    6.16E-18    6.16E-18
1466.04    1.34E-17    6.72E-18    6.72E-18
1467.04    1.43E-17    7.13E-18    7.13E-18
1468.04    1.44E-17    7.22E-18    7.22E-18
1469.04    1.40E-17    7.02E-18    7.02E-18
1470.04    1.33E-17    6.66E-18    6.66E-18
1471.04    1.27E-17    6.35E-18    6.35E-18
1472.04    1.21E-17    6.05E-18    6.05E-18
1473.04    1.11E-17    5.54E-18    5.54E-18
1474.04    9.75E-18    4.88E-18    4.88E-18
1475.04    8.52E-18    4.26E-18    4.26E-18
1476.04    7.60E-18    3.80E-18    3.80E-18
1477.04    6.94E-18    3.47E-18    3.47E-18
1478.04    6.78E-18    3.39E-18    3.39E-18
1479.04    6.94E-18    3.47E-18    3.47E-18
1480.04    6.98E-18    3.49E-18    3.49E-18
1481.04    6.99E-18    3.49E-18    3.49E-18
1482.04    7.26E-18    3.63E-18    3.63E-18
1483.04    8.09E-18    4.05E-18    4.05E-18
1484.04    9.49E-18    4.75E-18    4.75E-18
1485.04    1.08E-17    5.42E-18    5.42E-18
1486.04    1.17E-17    5.84E-18    5.84E-18
1487.04    1.25E-17    6.26E-18    6.26E-18
1488.04    1.35E-17    6.74E-18    6.74E-18
1489.04    1.39E-17    6.95E-18    6.95E-18
1490.04    1.43E-17    7.13E-18    7.13E-18
1491.04    1.41E-17    7.07E-18    7.07E-18
1492.04    1.21E-17    6.06E-18    6.06E-18
1493.04    9.64E-18    4.82E-18    4.82E-18
1494.04    8.72E-18    4.36E-18    4.36E-18
1495.04    8.73E-18    4.37E-18    4.37E-18
1496.04    8.41E-18    4.20E-18    4.20E-18
1497.04    7.12E-18    3.56E-18    3.56E-18
1498.04    6.24E-18    3.12E-18    3.12E-18
1499.04    6.19E-18    3.09E-18    3.09E-18
1500.04    6.30E-18    3.15E-18    3.15E-18
1501.04    5.89E-18    2.94E-18    2.94E-18
1502.04    5.22E-18    2.61E-18    2.61E-18
1503.04    4.95E-18    2.48E-18    2.48E-18
1504.04    4.87E-18    2.43E-18    2.43E-18
1505.04    4.64E-18    2.32E-18    2.32E-18
1506.05    4.39E-18    2.20E-18    2.20E-18
1507.05    4.27E-18    2.13E-18    2.13E-18
1508.05    4.20E-18    2.10E-18    2.10E-18
1509.05    4.17E-18    2.09E-18    2.09E-18
1510.05    4.14E-18    2.07E-18    2.07E-18
1511.05    4.10E-18    2.05E-18    2.05E-18
1512.05    4.05E-18    2.02E-18    2.02E-18
1513.05    4.01E-18    2.01E-18    2.01E-18
1514.05    3.99E-18    1.99E-18    1.99E-18
1515.05    3.96E-18    1.98E-18    1.98E-18
1516.05    3.95E-18    1.97E-18    1.97E-18
1517.05    3.93E-18    1.96E-18    1.96E-18
1518.05    3.94E-18    1.97E-18    1.97E-18
1519.05    4.02E-18    2.01E-18    2.01E-18
1520.05    4.17E-18    2.09E-18    2.09E-18
1521.05    4.36E-18    2.18E-18    2.18E-18
1522.05    4.55E-18    2.28E-18    2.28E-18
1523.05    4.68E-18    2.34E-18    2.34E-18
1524.05    4.69E-18    2.35E-18    2.35E-18
1525.05    4.61E-18    2.30E-18    2.30E-18
1526.05    4.50E-18    2.25E-18    2.25E-18
1527.05    4.45E-18    2.23E-18    2.23E-18
1528.05    4.50E-18    2.25E-18    2.25E-18
1529.05    4.62E-18    2.31E-18    2.31E-18
1530.05    4.73E-18    2.36E-18    2.36E-18
1531.05    4.84E-18    2.42E-18    2.42E-18
1532.05    4.92E-18    2.46E-18    2.46E-18
1533.05    5.01E-18    2.50E-18    2.50E-18
1534.05    5.13E-18    2.57E-18    2.57E-18
1535.05    5.25E-18    2.62E-18    2.62E-18
1536.05    5.30E-18    2.65E-18    2.65E-18
1537.05    5.33E-18    2.66E-18    2.66E-18
