0          References for Cross Section of C2H6      total   
Cross section:                                                                  
Lambda = 0.61-250. A                                                            
   Synthesized from atomic cross sections of 2*C + 6*H                          
   Barfield, W. D., Koontz, G. D., Huebner W. F. (1972)                         
   J. Quant. Spectr. Rad. Trans. 12, 1409                                       
Lambda = 354.-1127. A                                                           
   Koch, E. E., Skibowski, M. (1971)                                            
   Chem. Phys. Lett. 9, 429                                                     
Lambda = 1160.-1200. A                                                          
   Lombos, B. A., Sauvageau, P., Sandorfy, C. (1967)                            
   J. Mol. Spectr. 24, 253                                                      
Lambda = 1200.-1380. A                                                          
   Okabe, H., Becker, D. A. (1963)                                              
   J. Chem. Phys. 39, 2549                                                      
Lambda = 1380.-1600. A                                                          
   Mount, G. H., Moos, H. W. (1978)                                             
   Astrophys. J. 224, l35                                                       
                                                                                
0          References for Cross Section of C2H6      CH3/CH3 
Branching ratios:                                                               
Lambda = 1055., 1236., 1470. A                                                  
   Lias, S. G., Collin, G. J., Rebbert, R. E., Ausloos, P. (1970)               
   J. Chem. Phys. 52, 1841                                                      
                                                                                
0          References for Cross Section of C2H6      C2H5/H  
                                                                                
0          References for Cross Section of C2H6      1CH2/CH4
 1300.0 2.23E-17 1.36E-18 5.82E-18 4.33E-18 0.00E+00 1.08E-17
 1320.0 1.83E-17 1.00E-18 4.49E-18 3.18E-18 0.00E+00 9.62E-18
 1340.0 1.42E-17 6.94E-19 3.27E-18 2.18E-18 0.00E+00 8.06E-18
 1360.0 1.08E-17 4.63E-19 2.32E-18 1.43E-18 0.00E+00 6.58E-18
 1380.0 9.60E-18 3.54E-19 1.91E-18 1.08E-18 0.00E+00 6.25E-18
 1396.0 6.30E-18 2.02E-19 1.18E-18 6.04E-19 0.00E+00 4.32E-18
 1400.0 8.00E-18 2.48E-19 1.47E-18 7.34E-19 0.00E+00 5.55E-18
 1409.0 6.00E-18 1.69E-19 1.06E-18 4.95E-19 0.00E+00 4.27E-18
 1417.0 3.50E-18 9.05E-20 5.98E-19 2.60E-19 0.00E+00 2.55E-18
 1420.0 6.70E-18 1.67E-19 1.13E-18 4.78E-19 0.00E+00 4.93E-18
 1427.0 3.20E-18 7.32E-20 5.22E-19 2.05E-19 0.00E+00 2.40E-18
 1440.0 2.70E-18 5.12E-20 4.13E-19 1.37E-19 0.00E+00 2.10E-18
 1450.0 2.40E-18 3.84E-20 3.49E-19 9.72E-20 0.00E+00 1.92E-18
 1460.0 2.00E-18 2.60E-20 2.75E-19 6.05E-20 0.00E+00 1.64E-18
 1470.0 1.80E-18 1.80E-20 2.34E-19 3.60E-20 0.00E+00 1.51E-18
 1480.0 1.50E-18 1.49E-20 1.94E-19 2.98E-20 0.00E+00 1.26E-18
 1490.0 1.20E-18 1.19E-20 1.54E-19 2.36E-20 0.00E+00 1.01E-18
 1500.0 9.20E-19 9.04E-21 1.17E-19 1.80E-20 0.00E+00 7.76E-19
 1510.0 6.50E-19 6.35E-21 8.21E-20 1.26E-20 0.00E+00 5.49E-19
 1520.0 4.30E-19 4.18E-21 5.39E-20 8.26E-21 0.00E+00 3.64E-19
 1530.0 2.60E-19 2.51E-21 3.24E-20 4.95E-21 0.00E+00 2.20E-19
 1540.0 1.20E-19 1.15E-21 1.48E-20 2.27E-21 0.00E+00 1.02E-19
 1550.0 7.00E-20 6.68E-22 8.59E-21 1.31E-21 0.00E+00 5.94E-20
 1560.0 2.80E-20 2.66E-22 3.41E-21 5.20E-22 0.00E+00 2.38E-20
 1570.0 1.20E-20 1.13E-22 1.45E-21 2.21E-22 0.00E+00 1.02E-20
 1580.0 4.80E-21 4.50E-23 5.76E-22 8.76E-23 0.00E+00 4.09E-21
 1590.0 2.10E-21 1.96E-23 2.50E-22 3.80E-23 0.00E+00 1.79E-21
 1600.0 1.10E-21 1.02E-23 1.30E-22 1.97E-23 0.00E+00 9.40E-22
 2726.0 1.00E-30 2.82E-33 1.58E-32 0.00E+00 0.00E+00 9.81E-31
 2900.0 1.00E-30 1.83E-33 0.00E+00 0.00E+00 0.00E+00 9.98E-31
 3220.0 1.00E-30 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-30
 7150.0 1.00E-35 0.00E+00 0.00E+00 0.00E+00 0.00E+00 1.00E-35
