0 Branching ratio for CHO      Total        1 branches
Lambda        Total        H/CO
1370.03      0.00E+00      0.00E+00
1371.03      0.00E+00      0.00E+00
1372.03      0.00E+00      0.00E+00
1373.03      0.00E+00      0.00E+00
1374.03      0.00E+00      0.00E+00
1375.03      0.00E+00      0.00E+00
1376.03      0.00E+00      0.00E+00
1377.03      0.00E+00      0.00E+00
1378.03      0.00E+00      0.00E+00
1379.03      0.00E+00      0.00E+00
1380.03      0.00E+00      0.00E+00
1381.03      0.00E+00      0.00E+00
1382.03      0.00E+00      0.00E+00
1383.03      0.00E+00      0.00E+00
1384.03      0.00E+00      0.00E+00
1385.03      0.00E+00      0.00E+00
1386.03      0.00E+00      0.00E+00
1387.03      0.00E+00      0.00E+00
1388.03      0.00E+00      0.00E+00
1389.03      0.00E+00      0.00E+00
1390.03      0.00E+00      0.00E+00
1391.03      0.00E+00      0.00E+00
1392.03      0.00E+00      0.00E+00
1393.03      0.00E+00      0.00E+00
1394.03      0.00E+00      0.00E+00
1395.03      0.00E+00      0.00E+00
1396.03      0.00E+00      0.00E+00
1397.03      0.00E+00      0.00E+00
1398.03      0.00E+00      0.00E+00
1399.03      0.00E+00      0.00E+00
1400.03      0.00E+00      0.00E+00
1401.03      0.00E+00      0.00E+00
1402.03      0.00E+00      0.00E+00
1403.03      0.00E+00      0.00E+00
1404.03      0.00E+00      0.00E+00
1405.03      0.00E+00      0.00E+00
1406.03      0.00E+00      0.00E+00
1407.03      0.00E+00      0.00E+00
1408.03      0.00E+00      0.00E+00
1409.03      0.00E+00      0.00E+00
1410.03      0.00E+00      0.00E+00
1411.03      0.00E+00      0.00E+00
1412.03      0.00E+00      0.00E+00
1413.03      0.00E+00      0.00E+00
1414.03      0.00E+00      0.00E+00
1415.03      0.00E+00      0.00E+00
1416.03      0.00E+00      0.00E+00
1417.03      0.00E+00      0.00E+00
1418.03      0.00E+00      0.00E+00
1419.03      0.00E+00      0.00E+00
1420.03      0.00E+00      0.00E+00
1421.03      0.00E+00      0.00E+00
1422.03      0.00E+00      0.00E+00
1423.03      0.00E+00      0.00E+00
1424.03      0.00E+00      0.00E+00
1425.03      0.00E+00      0.00E+00
1426.03      0.00E+00      0.00E+00
1427.03      0.00E+00      0.00E+00
1428.03      0.00E+00      0.00E+00
1429.03      0.00E+00      0.00E+00
1430.03      0.00E+00      0.00E+00
1431.03      0.00E+00      0.00E+00
1432.03      0.00E+00      0.00E+00
1433.03      0.00E+00      0.00E+00
1434.03      0.00E+00      0.00E+00
1435.03      0.00E+00      0.00E+00
1436.03      0.00E+00      0.00E+00
1437.03      0.00E+00      0.00E+00
1438.04      0.00E+00      0.00E+00
1439.04      0.00E+00      0.00E+00
1440.04      0.00E+00      0.00E+00
1441.04      0.00E+00      0.00E+00
1442.04      0.00E+00      0.00E+00
1443.04      0.00E+00      0.00E+00
1444.04      0.00E+00      0.00E+00
1445.04      0.00E+00      0.00E+00
1446.04      0.00E+00      0.00E+00
1447.04      0.00E+00      0.00E+00
1448.04      0.00E+00      0.00E+00
1449.04      0.00E+00      0.00E+00
1450.04      0.00E+00      0.00E+00
1451.04      0.00E+00      0.00E+00
1452.04      0.00E+00      0.00E+00
1453.04      0.00E+00      0.00E+00
1454.04      0.00E+00      0.00E+00
1455.04      0.00E+00      0.00E+00
1456.04      0.00E+00      0.00E+00
1457.04      0.00E+00      0.00E+00
1458.04      0.00E+00      0.00E+00
1459.04      0.00E+00      0.00E+00
1460.04      0.00E+00      0.00E+00
1461.04      0.00E+00      0.00E+00
1462.04      0.00E+00      0.00E+00
1463.04      0.00E+00      0.00E+00
1464.04      0.00E+00      0.00E+00
1465.04      0.00E+00      0.00E+00
1466.04      0.00E+00      0.00E+00
1467.04      0.00E+00      0.00E+00
1468.04      0.00E+00      0.00E+00
1469.04      0.00E+00      0.00E+00
1470.04      0.00E+00      0.00E+00
1471.04      0.00E+00      0.00E+00
1472.04      0.00E+00      0.00E+00
1473.04      0.00E+00      0.00E+00
1474.04      0.00E+00      0.00E+00
1475.04      0.00E+00      0.00E+00
1476.04      0.00E+00      0.00E+00
1477.04      0.00E+00      0.00E+00
1478.04      0.00E+00      0.00E+00
1479.04      0.00E+00      0.00E+00
1480.04      0.00E+00      0.00E+00
1481.04      0.00E+00      0.00E+00
1482.04      0.00E+00      0.00E+00
1483.04      0.00E+00      0.00E+00
1484.04      0.00E+00      0.00E+00
1485.04      0.00E+00      0.00E+00
1486.04      0.00E+00      0.00E+00
1487.04      0.00E+00      0.00E+00
1488.04      0.00E+00      0.00E+00
1489.04      0.00E+00      0.00E+00
1490.04      0.00E+00      0.00E+00
1491.04      0.00E+00      0.00E+00
1492.04      0.00E+00      0.00E+00
1493.04      0.00E+00      0.00E+00
1494.04      0.00E+00      0.00E+00
1495.04      0.00E+00      0.00E+00
1496.04      0.00E+00      0.00E+00
1497.04      0.00E+00      0.00E+00
1498.04      0.00E+00      0.00E+00
1499.04      0.00E+00      0.00E+00
1500.04      0.00E+00      0.00E+00
1501.04      0.00E+00      0.00E+00
1502.04      0.00E+00      0.00E+00
1503.04      0.00E+00      0.00E+00
1504.04      0.00E+00      0.00E+00
1505.04      0.00E+00      0.00E+00
1506.05      0.00E+00      0.00E+00
1507.05      0.00E+00      0.00E+00
1508.05      0.00E+00      0.00E+00
1509.05      0.00E+00      0.00E+00
1510.05      0.00E+00      0.00E+00
1511.05      0.00E+00      0.00E+00
1512.05      0.00E+00      0.00E+00
1513.05      0.00E+00      0.00E+00
1514.05      0.00E+00      0.00E+00
1515.05      0.00E+00      0.00E+00
1516.05      0.00E+00      0.00E+00
1517.05      0.00E+00      0.00E+00
1518.05      0.00E+00      0.00E+00
1519.05      0.00E+00      0.00E+00
1520.05      0.00E+00      0.00E+00
1521.05      0.00E+00      0.00E+00
1522.05      0.00E+00      0.00E+00
1523.05      0.00E+00      0.00E+00
1524.05      0.00E+00      0.00E+00
1525.05      0.00E+00      0.00E+00
1526.05      0.00E+00      0.00E+00
1527.05      0.00E+00      0.00E+00
1528.05      0.00E+00      0.00E+00
1529.05      0.00E+00      0.00E+00
1530.05      0.00E+00      0.00E+00
1531.05      0.00E+00      0.00E+00
1532.05      0.00E+00      0.00E+00
